Fluxo;Ano;Codigo_NCM;Descricao_NCM;Valor_US_FOB;Quilograma_Liquido
Exportação;2006;73251000;"Outras obras moldadas de ferro fundido, não maleável";9764358;5364303
Exportação;2006;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";3966997;3401242
Exportação;2006;73259910;"Outras obras moldadas, de aço";1597058;292877
Exportação;2006;73259990;"Outras obras moldadas, de ferro fundido ou ferro";2554364;1644908
Importação;2006;73251000;"Outras obras moldadas de ferro fundido, não maleável";1482355;663273
Importação;2006;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";3324002;4808896
Importação;2006;73259910;"Outras obras moldadas, de aço";8331789;2483632
Importação;2006;73259990;"Outras obras moldadas, de ferro fundido ou ferro";6376562;2798097
Exportação;2007;73251000;"Outras obras moldadas de ferro fundido, não maleável";6245044;2681093
Exportação;2007;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";10939374;8960985
Exportação;2007;73259910;"Outras obras moldadas, de aço";1462630;142206
Exportação;2007;73259990;"Outras obras moldadas, de ferro fundido ou ferro";2892340;1305075
Importação;2007;73251000;"Outras obras moldadas de ferro fundido, não maleável";2030861;763182
Importação;2007;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";10627958;15472363
Importação;2007;73259910;"Outras obras moldadas, de aço";9301400;3760574
Importação;2007;73259990;"Outras obras moldadas, de ferro fundido ou ferro";8228310;3882069
Exportação;2008;73251000;"Outras obras moldadas de ferro fundido, não maleável";8169324;3187250
Exportação;2008;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";10888120;6181363
Exportação;2008;73259910;"Outras obras moldadas, de aço";1490878;115920
Exportação;2008;73259990;"Outras obras moldadas, de ferro fundido ou ferro";7431821;2201395
Importação;2008;73251000;"Outras obras moldadas de ferro fundido, não maleável";3890608;1087161
Importação;2008;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";22822927;20102288
Importação;2008;73259910;"Outras obras moldadas, de aço";8107153;1616056
Importação;2008;73259990;"Outras obras moldadas, de ferro fundido ou ferro";10245303;3936029
Exportação;2009;73251000;"Outras obras moldadas de ferro fundido, não maleável";5132355;1883744
Exportação;2009;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";8634992;4925934
Exportação;2009;73259910;"Outras obras moldadas, de aço";1406999;114295
Exportação;2009;73259990;"Outras obras moldadas, de ferro fundido ou ferro";5720262;1616739
Importação;2009;73251000;"Outras obras moldadas de ferro fundido, não maleável";3316568;567246
Importação;2009;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";15295350;13912381
Importação;2009;73259910;"Outras obras moldadas, de aço";11536061;1013553
Importação;2009;73259990;"Outras obras moldadas, de ferro fundido ou ferro";10400654;3358154
Exportação;2010;73251000;"Outras obras moldadas de ferro fundido, não maleável";4824321;1854167
Exportação;2010;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";1476464;879943
Exportação;2010;73259910;"Outras obras moldadas, de aço";3693049;356552
Exportação;2010;73259990;"Outras obras moldadas, de ferro fundido ou ferro";6322987;2406716
Importação;2010;73251000;"Outras obras moldadas de ferro fundido, não maleável";3061776;662275
Importação;2010;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";32049521;24046125
Importação;2010;73259910;"Outras obras moldadas, de aço";7109646;998054
Importação;2010;73259990;"Outras obras moldadas, de ferro fundido ou ferro";10110821;3519640
Exportação;2011;73251000;"Outras obras moldadas de ferro fundido, não maleável";8283456;2902868
Exportação;2011;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";8073400;5160232
Exportação;2011;73259910;"Outras obras moldadas, de aço";6372566;562126
Exportação;2011;73259990;"Outras obras moldadas, de ferro fundido ou ferro";11017722;1919063
Importação;2011;73251000;"Outras obras moldadas de ferro fundido, não maleável";4320200;1118852
Importação;2011;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";32611990;23616598
Importação;2011;73259910;"Outras obras moldadas, de aço";9392017;1684018
Importação;2011;73259990;"Outras obras moldadas, de ferro fundido ou ferro";16634327;5886057
Exportação;2012;73251000;"Outras obras moldadas de ferro fundido, não maleável";6062462;2064944
Exportação;2012;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";4990604;3125981
Exportação;2012;73259910;"Outras obras moldadas, de aço";3471676;220130
Exportação;2012;73259990;"Outras obras moldadas, de ferro fundido ou ferro";10164763;2372466
Importação;2012;73251000;"Outras obras moldadas de ferro fundido, não maleável";6520490;820686
Importação;2012;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";35277834;24078011
Importação;2012;73259910;"Outras obras moldadas, de aço";7010176;1039102
Importação;2012;73259990;"Outras obras moldadas, de ferro fundido ou ferro";14600567;4082326
Exportação;2013;73251000;"Outras obras moldadas de ferro fundido, não maleável";4460239;1349147
Exportação;2013;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";3554697;2422906
Exportação;2013;73259910;"Outras obras moldadas, de aço";4640784;666785
Exportação;2013;73259990;"Outras obras moldadas, de ferro fundido ou ferro";3208189;862330
Importação;2013;73251000;"Outras obras moldadas de ferro fundido, não maleável";5784380;712307
Importação;2013;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";33322766;25386723
