"Fluxo";"Ano";"Pais";"UF_Produto";"Valor_US_FOB";"Quilograma_Liquido";"cnae_subclasse"
"Exportação";2026;"Estados Unidos";"Rio de Janeiro";7971882;836;"2452"
"Exportação";2026;"Estados Unidos";"São Paulo";2836942;118096;"2452"
"Exportação";2026;"Argentina";"São Paulo";2603571;275703;"2452"
"Exportação";2026;"Colômbia";"São Paulo";2255953;112334;"2452"
"Exportação";2026;"Peru";"São Paulo";1726365;32499;"2452"
"Exportação";2026;"Paraguai";"São Paulo";1697207;178484;"2452"
"Exportação";2026;"Equador";"São Paulo";1697055;128235;"2452"
"Exportação";2026;"Chile";"São Paulo";1470531;82407;"2452"
"Exportação";2026;"Espanha";"Rio de Janeiro";1280956;166;"2452"
"Exportação";2026;"México";"Rio de Janeiro";1274448;105;"2452"
"Exportação";2026;"Reino Unido";"Rio de Janeiro";893595;682;"2452"
"Exportação";2026;"Portugal";"São Paulo";721710;1408;"2452"
"Exportação";2026;"Colômbia";"Rio de Janeiro";690751;74;"2452"
"Exportação";2026;"França";"Rio de Janeiro";648712;62;"2452"
"Exportação";2026;"França";"São Paulo";647472;3317;"2452"
"Exportação";2026;"Tcheca, República";"São Paulo";596293;187;"2452"
"Exportação";2026;"Paraguai";"Rio Grande do Sul";577669;84774;"2452"
"Exportação";2026;"México";"São Paulo";565230;11391;"2452"
"Exportação";2026;"Argentina";"Rio Grande do Sul";482381;76727;"2452"
"Exportação";2026;"Paraguai";"Santa Catarina";434204;70939;"2452"
"Exportação";2026;"China";"Rio de Janeiro";406148;14889;"2452"
"Exportação";2026;"Coreia do Sul";"Rio de Janeiro";364991;6;"2452"
"Exportação";2026;"Alemanha";"São Paulo";363301;232;"2452"
"Exportação";2026;"Argentina";"Santa Catarina";361150;26975;"2452"
"Exportação";2026;"Panamá";"Rio de Janeiro";360280;62;"2452"
"Exportação";2026;"Uruguai";"São Paulo";343133;16631;"2452"
"Exportação";2026;"Chile";"Rio de Janeiro";339686;2446;"2452"
"Exportação";2026;"Arábia Saudita";"Rio de Janeiro";338839;26;"2452"
"Exportação";2026;"México";"Rio Grande do Sul";253911;39021;"2452"
"Exportação";2026;"Bélgica";"São Paulo";240474;226;"2452"
"Exportação";2026;"Bélgica";"Rio de Janeiro";238877;22;"2452"
"Exportação";2026;"Uruguai";"Rio Grande do Sul";236487;35198;"2452"
"Exportação";2026;"Suíça";"Santa Catarina";220361;11864;"2452"
"Exportação";2026;"Canadá";"Rio de Janeiro";216796;67;"2452"
"Exportação";2026;"Argentina";"Rio de Janeiro";210383;33918;"2452"
"Exportação";2026;"Paraguai";"Rio de Janeiro";207897;32906;"2452"
"Exportação";2026;"Bolívia";"Rio Grande do Sul";191747;27729;"2452"
"Exportação";2026;"Bolívia";"São Paulo";178660;14019;"2452"
"Exportação";2026;"Costa Rica";"São Paulo";172334;7818;"2452"
"Exportação";2026;"Itália";"Rio de Janeiro";162198;13;"2452"
"Exportação";2026;"Turquia";"Santa Catarina";158584;7748;"2452"
"Exportação";2026;"Áustria";"Rio de Janeiro";153941;5;"2452"
"Exportação";2026;"Reino Unido";"São Paulo";153243;449;"2452"
"Exportação";2026;"Suécia";"Rio de Janeiro";149666;18;"2452"
"Exportação";2026;"Índia";"Rio de Janeiro";146293;11;"2452"
"Exportação";2026;"Turquia";"São Paulo";121064;296;"2452"
"Exportação";2026;"Luxemburgo";"Rio de Janeiro";119869;17;"2452"
"Exportação";2026;"Índia";"Minas Gerais";114774;1030;"2452"
"Exportação";2026;"Paraguai";"Paraná";110262;15685;"2452"
"Exportação";2026;"Panamá";"São Paulo";103886;8012;"2452"
"Exportação";2026;"Turquia";"Rio de Janeiro";90775;13;"2452"
"Exportação";2026;"Uruguai";"Rio de Janeiro";86927;15123;"2452"
"Exportação";2026;"Chile";"Paraná";86876;1874;"2452"
"Exportação";2026;"Itália";"São Paulo";81098;245;"2452"
"Exportação";2026;"Colômbia";"Rio Grande do Sul";79794;13844;"2452"
"Exportação";2026;"Estados Unidos";"Paraná";77764;5692;"2452"
"Exportação";2026;"Alemanha";"Rio de Janeiro";77035;18;"2452"
"Exportação";2026;"Peru";"Rio Grande do Sul";73741;9294;"2452"
"Exportação";2026;"Venezuela";"São Paulo";66615;6855;"2452"
"Exportação";2026;"Uruguai";"Santa Catarina";63636;10222;"2452"
"Exportação";2026;"Estados Unidos";"Amazonas";59324;792;"2452"
"Exportação";2026;"República Dominicana";"Paraná";57301;863;"2452"
"Exportação";2026;"Chile";"Santa Catarina";56225;462;"2452"
"Exportação";2026;"Singapura";"São Paulo";55353;42;"2452"
"Exportação";2026;"México";"Santa Catarina";53256;3357;"2452"
"Exportação";2026;"França";"Minas Gerais";51639;5;"2452"
"Exportação";2026;"China";"São Paulo";49898;822;"2452"
"Exportação";2026;"Bolívia";"Paraná";48068;2392;"2452"
"Exportação";2026;"África do Sul";"Santa Catarina";47871;1482;"2452"
"Exportação";2026;"Noruega";"Espírito Santo";45775;6;"2452"
"Exportação";2026;"Argentina";"Minas Gerais";45139;3189;"2452"
"Exportação";2026;"Singapura";"Rio de Janeiro";44605;175;"2452"
"Exportação";2026;"Canadá";"Minas Gerais";43892;1639;"2452"
"Exportação";2026;"Colômbia";"Minas Gerais";41999;412;"2452"
"Exportação";2026;"Japão";"São Paulo";39240;33;"2452"
"Exportação";2026;"Tailândia";"Rio Grande do Sul";38770;745;"2452"
"Exportação";2026;"Malásia";"Rio de Janeiro";36882;3;"2452"
"Exportação";2026;"África do Sul";"São Paulo";36526;55;"2452"
"Exportação";2026;"Países Baixos (Holanda)";"São Paulo";36170;202;"2452"
"Exportação";2026;"Canadá";"São Paulo";36158;1397;"2452"
"Exportação";2026;"Austrália";"São Paulo";36047;2993;"2452"
"Exportação";2026;"Polônia";"São Paulo";35819;48;"2452"
"Exportação";2026;"Estados Unidos";"Minas Gerais";35257;511;"2452"
"Exportação";2026;"Estados Unidos";"Rio Grande do Sul";34537;488;"2452"
"Exportação";2026;"Estados Unidos";"Bahia";34411;1179;"2452"
"Exportação";2026;"Bolívia";"Santa Catarina";31518;5535;"2452"
"Exportação";2026;"Bolívia";"Rio de Janeiro";30646;3896;"2452"
"Exportação";2026;"Guatemala";"Santa Catarina";28351;121;"2452"
"Exportação";2026;"Paraguai";"Minas Gerais";27424;4579;"2452"
"Exportação";2026;"Argentina";"Paraná";26247;2324;"2452"
"Exportação";2026;"México";"Minas Gerais";26038;230;"2452"
"Exportação";2026;"Bolívia";"Minas Gerais";23100;1878;"2452"
