"Ano";"Reporter_Code";"Reporter_ISO";"Reporter";"Fluxo";"Partner_Code";"Partner";"HS_Code";"Valor_US_FOB";"Peso_Kg"
2015;24;"AGO";"Angola";"Importacao";0;"World";"741991";128197,04;18131
2015;24;"AGO";"Angola";"Importacao";56;"Belgium";"741991";356,72;17
2015;24;"AGO";"Angola";"Importacao";76;"Brazil";"741991";1007,9;208
2015;24;"AGO";"Angola";"Importacao";156;"China";"741991";16117,48;12160
2015;24;"AGO";"Angola";"Importacao";251;"France";"741991";60,3;1
2015;24;"AGO";"Angola";"Importacao";288;"Ghana";"741991";250;107
2015;24;"AGO";"Angola";"Importacao";528;"Netherlands";"741991";4266,73;349
2015;24;"AGO";"Angola";"Importacao";620;"Portugal";"741991";104015,9;5243
2015;24;"AGO";"Angola";"Importacao";702;"Singapore";"741991";360,7;8
2015;24;"AGO";"Angola";"Importacao";784;"United Arab Emirates";"741991";243,42;2
2015;24;"AGO";"Angola";"Importacao";826;"United Kingdom";"741991";234,7;19
2015;24;"AGO";"Angola";"Importacao";842;"USA";"741991";1283,19;17
2015;32;"ARG";"Argentina";"Importacao";0;"World";"741991";200532,8;30305,15
2015;32;"ARG";"Argentina";"Importacao";76;"Brazil";"741991";68,8;0,63
2015;32;"ARG";"Argentina";"Importacao";490;"Other Asia, nes";"741991";224;5,52
2015;32;"ARG";"Argentina";"Importacao";842;"USA";"741991";200240;30299
2015;36;"AUS";"Australia";"Importacao";0;"World";"741991";163214;5174
2015;36;"AUS";"Australia";"Importacao";56;"Belgium";"741991";1319;42
2015;36;"AUS";"Australia";"Importacao";156;"China";"741991";17134;306
2015;36;"AUS";"Australia";"Importacao";344;"China, Hong Kong SAR";"741991";1157;5
2015;36;"AUS";"Australia";"Importacao";380;"Italy";"741991";1840;58
2015;36;"AUS";"Australia";"Importacao";392;"Japan";"741991";1579;50
2015;36;"AUS";"Australia";"Importacao";490;"Other Asia, nes";"741991";28583;652
2015;36;"AUS";"Australia";"Importacao";554;"New Zealand";"741991";41455;795
2015;36;"AUS";"Australia";"Importacao";699;"India";"741991";13218;1355
2015;36;"AUS";"Australia";"Importacao";705;"Slovenia";"741991";9075;180
2015;36;"AUS";"Australia";"Importacao";764;"Thailand";"741991";1590;50
2015;36;"AUS";"Australia";"Importacao";826;"United Kingdom";"741991";793;54
2015;36;"AUS";"Australia";"Importacao";842;"USA";"741991";45470;1627
