"Ano";"Mes";"cnae_subclasse";"Consumo_ACL_MWh";"Consumo_Total_MWh";"Qtd_Parcelas_Distintas";"Qtd_CNPJs_Distintos"
2024;4;"2452";9721,516401;9721,516401;17;17
2024;5;"2452";19675,003873;19675,003873;42;41
2024;6;"2452";18670,790663;18670,790663;43;42
2024;7;"2452";19968,460088;19968,460088;43;42
2024;8;"2452";20109,521337;20109,521337;43;42
2024;9;"2452";19315,167508;19315,167508;43;42
2024;10;"2452";20710,326798;20710,326798;43;42
2024;11;"2452";19863,199626;19863,199626;43;42
2024;12;"2452";16445,196823;16445,196823;43;42
2025;1;"2452";19141,507512;19141,507512;43;42
2025;2;"2452";19306,424878;19306,424878;43;42
2025;3;"2452";20751,755266;20751,755266;43;42
2025;4;"2452";20222,884452;20222,884452;44;42
2025;5;"2452";20758,632758;20758,632758;44;42
2025;6;"2452";19857,615358;19857,615358;44;42
2025;7;"2452";20332,678568;20332,678568;44;42
2025;8;"2452";20296,973505;20296,973505;44;42
2025;9;"2452";19931,169288;19931,169288;44;42
2025;10;"2452";20899,819309;20899,819309;43;41
2025;11;"2452";19874,375233;19874,375233;44;42
2025;12;"2452";15181,955797;15181,955797;44;42
2026;1;"2452";19381,896415;19381,896415;44;42
2026;2;"2452";19135,60781;19135,60781;44;42
2026;3;"2452";21462,842487;21462,842487;44;42
2026;4;"2452";20199,365884;20199,365884;44;42
2026;5;"2452";20608,177323;20608,177323;44;42
