"Ano";"Mes";"RAMO_ATIVIDADE";"Consumo_Livre_ACL";"Consumo_Autoprodutor_ACL"
2024;4;"METALURGIA E PRODUTOS DE METAL";4802,33189794026;1345,77519707222
2024;5;"METALURGIA E PRODUTOS DE METAL";4767,33597572176;1390,99506679301
2024;6;"METALURGIA E PRODUTOS DE METAL";4863,2385198875;1485,04979941806
2024;7;"METALURGIA E PRODUTOS DE METAL";4951,37322626209;1476,15031064247
2024;8;"METALURGIA E PRODUTOS DE METAL";4965,37105667876;1466,35107182392
2024;9;"METALURGIA E PRODUTOS DE METAL";4962,449395625;1500,51275038056
2024;10;"METALURGIA E PRODUTOS DE METAL";4941,99792812097;1479,49619906855
2024;11;"METALURGIA E PRODUTOS DE METAL";4881,13971083472;1485,80719031806
2024;12;"METALURGIA E PRODUTOS DE METAL";4602,05658196371;1504,61984385215
2025;1;"METALURGIA E PRODUTOS DE METAL";4804,45546459945;1553,80411405914
2025;2;"METALURGIA E PRODUTOS DE METAL";4964,34546054167;1556,95247322173
2025;3;"METALURGIA E PRODUTOS DE METAL";4885,22620808469;1554,86586829032
2025;4;"METALURGIA E PRODUTOS DE METAL";4867,01740802499;1456,300981425
2025;5;"METALURGIA E PRODUTOS DE METAL";4744,00260538977;1527,41012050672
2025;6;"METALURGIA E PRODUTOS DE METAL";4808,74596503749;1556,10536171805
2025;7;"METALURGIA E PRODUTOS DE METAL";4717,96886744354;1518,81003164651
2025;8;"METALURGIA E PRODUTOS DE METAL";4671,49359842071;1515,71984655914
2025;9;"METALURGIA E PRODUTOS DE METAL";4586,24043638473;1499,60473961528
2025;10;"METALURGIA E PRODUTOS DE METAL";4647,32269305108;1548,17067807392
2025;11;"METALURGIA E PRODUTOS DE METAL";4634,95726305556;1573,48622820278
2025;12;"METALURGIA E PRODUTOS DE METAL";4088,46238732527;1551,2116526707
2026;1;"METALURGIA E PRODUTOS DE METAL";4495,92526592472;1470,016121125
2026;2;"METALURGIA E PRODUTOS DE METAL";4679,59808822768;1505,17718481101
2026;3;"METALURGIA E PRODUTOS DE METAL";4605,94067394085;1525,25948121102
2026;4;"METALURGIA E PRODUTOS DE METAL";4735,33057527501;1523,50766659444
2026;5;"METALURGIA E PRODUTOS DE METAL";4648,54541222041;1537,56743318414
