"Ano";"Faixa_Tamanho";"Estabelecimentos";"Vinculos"
2006;"1000 ou Mais";5;14402
2006;"De 100 a 249";38;5934
2006;"De 20 a 49";103;3981
2006;"De 250 a 499";25;9353
2006;"De 50 a 99";89;6366
2006;"De 500 a 999";8;4639
2006;"Total";268;44675
2007;"1000 ou Mais";7;17327
2007;"De 100 a 249";50;7405
2007;"De 20 a 49";110;4296
2007;"De 250 a 499";24;8514
2007;"De 50 a 99";84;6013
2007;"De 500 a 999";11;6977
2007;"Total";286;50532
2008;"1000 ou Mais";7;17642
2008;"De 100 a 249";51;7849
2008;"De 20 a 49";119;4603
2008;"De 250 a 499";23;7961
2008;"De 50 a 99";84;6047
2008;"De 500 a 999";15;9158
2008;"Total";299;53260
2009;"1000 ou Mais";5;12893
2009;"De 100 a 249";43;6451
2009;"De 20 a 49";108;4145
2009;"De 250 a 499";24;8366
2009;"De 50 a 99";85;6040
2009;"De 500 a 999";9;5392
2009;"Total";274;43287
2010;"1000 ou Mais";5;15455
2010;"De 100 a 249";51;7956
2010;"De 20 a 49";95;3722
2010;"De 250 a 499";21;7737
2010;"De 50 a 99";99;7067
2010;"De 500 a 999";14;9025
2010;"Total";285;50962
2011;"1000 ou Mais";5;17195
2011;"De 100 a 249";55;8342
2011;"De 20 a 49";100;3833
2011;"De 250 a 499";24;8746
2011;"De 50 a 99";91;6312
2011;"De 500 a 999";13;8496
2011;"Total";288;52924
2012;"1000 ou Mais";6;16687
2012;"De 100 a 249";53;8580
2012;"De 20 a 49";86;3334
2012;"De 250 a 499";20;7573
2012;"De 50 a 99";93;6431
2012;"De 500 a 999";8;4678
2012;"Total";266;47283
2013;"1000 ou Mais";6;16833
2013;"De 100 a 249";52;7953
2013;"De 20 a 49";95;3763
2013;"De 250 a 499";22;7769
2013;"De 50 a 99";79;5650
2013;"De 500 a 999";12;6883
2013;"Total";266;48851
2014;"1000 ou Mais";6;15717
2014;"De 100 a 249";43;6912
2014;"De 20 a 49";89;3457
2014;"De 250 a 499";25;9039
2014;"De 50 a 99";79;5791
2014;"De 500 a 999";7;4229
2014;"Total";249;45145
2015;"1000 ou Mais";3;11328
2015;"De 100 a 249";38;5668
2015;"De 20 a 49";75;2935
2015;"De 250 a 499";26;8901
2015;"De 50 a 99";73;5234
2015;"De 500 a 999";6;4016
2015;"Total";221;38082
2016;"1000 ou Mais";3;11616
2016;"De 100 a 249";40;6369
2016;"De 20 a 49";76;2948
2016;"De 250 a 499";19;6303
2016;"De 50 a 99";62;4421
2016;"De 500 a 999";7;4392
2016;"Total";207;36049
2017;"1000 ou Mais";3;12491
2017;"De 100 a 249";34;5617
2017;"De 20 a 49";81;3147
2017;"De 250 a 499";20;6594
2017;"De 50 a 99";64;4696
2017;"De 500 a 999";5;3342
2017;"Total";207;35887
2018;"1000 ou Mais";4;15528
2018;"De 100 a 249";27;4186
2018;"De 20 a 49";83;3225
2018;"De 250 a 499";27;8664
2018;"De 50 a 99";65;4757
2018;"De 500 a 999";6;4114
2018;"Total";212;40474
2019;"1000 ou Mais";4;14081
2019;"De 100 a 249";35;5419
2019;"De 20 a 49";79;3085
2019;"De 250 a 499";22;7324
2019;"De 50 a 99";60;4279
2019;"De 500 a 999";4;2471
2019;"Total";204;36659
2020;"1000 ou Mais";2;12713
2020;"De 100 a 249";35;5546
2020;"De 20 a 49";73;2904
2020;"De 250 a 499";20;6984
2020;"De 50 a 99";62;4365
2020;"De 500 a 999";7;5075
2020;"Total";199;37587
2021;"1000 ou Mais";4;16104
2021;"De 100 a 249";46;7042
2021;"De 20 a 49";62;2412
2021;"De 250 a 499";21;7775
2021;"De 50 a 99";62;4221
2021;"De 500 a 999";7;5146
2021;"Total";202;42700
2022;"1000 ou Mais";5;17428
2022;"De 100 a 249";40;6183
2022;"De 20 a 49";66;2558
2022;"De 250 a 499";25;9380
2022;"De 50 a 99";65;4551
2022;"De 500 a 999";5;3810
2022;"Total";206;43910
2023;"1000 ou Mais";4;16353
2023;"De 100 a 249";42;6540
2023;"De 20 a 49";63;2367
2023;"De 250 a 499";24;8942
2023;"De 50 a 99";61;4217
2023;"De 500 a 999";3;2218
2023;"Total";197;40637
2024;"1000 ou Mais";4;15593
2024;"De 100 a 249";40;6052
2024;"De 20 a 49";70;2669
2024;"De 250 a 499";26;9109
2024;"De 50 a 99";62;4302
2024;"De 500 a 999";4;2853
2024;"Total";206;40578
2025;"1000 ou Mais";5;15353
2025;"De 100 a 249";43;6624
2025;"De 20 a 49";73;2820
2025;"De 250 a 499";23;7919
2025;"De 50 a 99";53;3520
2025;"De 500 a 999";5;2863
2025;"Total";202;39099
