"Ano";"Faixa_Tamanho";"Estabelecimentos";"Vinculos"
2006;"1000 ou Mais";1;1344
2006;"De 100 a 249";16;2354
2006;"De 20 a 49";56;2133
2006;"De 250 a 499";7;2932
2006;"De 50 a 99";33;2413
2006;"De 500 a 999";2;1575
2006;"Total";115;12751
2007;"1000 ou Mais";1;1395
2007;"De 100 a 249";18;2619
2007;"De 20 a 49";65;2477
2007;"De 250 a 499";4;1450
2007;"De 50 a 99";38;2659
2007;"De 500 a 999";5;2887
2007;"Total";131;13487
2008;"1000 ou Mais";1;1378
2008;"De 100 a 249";20;2795
2008;"De 20 a 49";67;2589
2008;"De 250 a 499";4;1465
2008;"De 50 a 99";31;2167
2008;"De 500 a 999";4;2777
2008;"Total";127;13171
2009;"1000 ou Mais";2;2431
2009;"De 100 a 249";16;2415
2009;"De 20 a 49";54;2075
2009;"De 250 a 499";5;1845
2009;"De 50 a 99";37;2559
2009;"De 500 a 999";1;708
2009;"Total";115;12033
2010;"1000 ou Mais";2;2933
2010;"De 100 a 249";21;3251
2010;"De 20 a 49";62;2354
2010;"De 250 a 499";4;1325
2010;"De 50 a 99";31;2251
2010;"De 500 a 999";3;1989
2010;"Total";123;14103
2011;"1000 ou Mais";3;5305
2011;"De 100 a 249";21;3208
2011;"De 20 a 49";61;2370
2011;"De 250 a 499";4;1688
2011;"De 50 a 99";32;2296
2011;"De 500 a 999";2;1341
2011;"Total";123;16208
2012;"1000 ou Mais";3;5139
2012;"De 100 a 249";12;1806
2012;"De 20 a 49";57;2203
2012;"De 250 a 499";5;2169
2012;"De 50 a 99";41;2921
2012;"De 500 a 999";0;0
2012;"Total";118;14238
2013;"1000 ou Mais";2;4059
2013;"De 100 a 249";15;2107
2013;"De 20 a 49";56;2117
2013;"De 250 a 499";5;2091
2013;"De 50 a 99";38;2626
2013;"De 500 a 999";0;0
2013;"Total";116;13000
2014;"1000 ou Mais";2;3423
2014;"De 100 a 249";11;1670
2014;"De 20 a 49";48;1802
2014;"De 250 a 499";4;1553
2014;"De 50 a 99";34;2344
2014;"De 500 a 999";0;0
2014;"Total";99;10792
2015;"1000 ou Mais";1;1867
2015;"De 100 a 249";6;852
2015;"De 20 a 49";47;1685
2015;"De 250 a 499";5;1669
2015;"De 50 a 99";30;2128
2015;"De 500 a 999";1;937
2015;"Total";90;9138
2016;"1000 ou Mais";1;1707
2016;"De 100 a 249";13;1925
2016;"De 20 a 49";38;1473
2016;"De 250 a 499";1;432
2016;"De 50 a 99";20;1466
2016;"De 500 a 999";2;1367
2016;"Total";75;8370
2017;"1000 ou Mais";1;1577
2017;"De 100 a 249";11;1447
2017;"De 20 a 49";36;1357
2017;"De 250 a 499";2;700
2017;"De 50 a 99";25;1728
2017;"De 500 a 999";2;1510
2017;"Total";77;8319
2018;"1000 ou Mais";2;2809
2018;"De 100 a 249";9;1294
2018;"De 20 a 49";39;1507
2018;"De 250 a 499";2;751
2018;"De 50 a 99";27;1917
2018;"De 500 a 999";1;609
2018;"Total";80;8887
2019;"1000 ou Mais";1;1163
2019;"De 100 a 249";11;1775
2019;"De 20 a 49";39;1486
2019;"De 250 a 499";1;422
2019;"De 50 a 99";28;2007
2019;"De 500 a 999";1;502
2019;"Total";81;7355
2020;"1000 ou Mais";0;0
2020;"De 100 a 249";15;1979
2020;"De 20 a 49";43;1633
2020;"De 250 a 499";3;1076
2020;"De 50 a 99";32;2022
2020;"De 500 a 999";1;847
2020;"Total";94;7557
2021;"1000 ou Mais";0;0
2021;"De 100 a 249";16;2387
2021;"De 20 a 49";42;1621
2021;"De 250 a 499";3;993
2021;"De 50 a 99";30;1949
2021;"De 500 a 999";2;1760
2021;"Total";93;8710
2022;"1000 ou Mais";1;1041
2022;"De 100 a 249";17;2279
2022;"De 20 a 49";43;1698
2022;"De 250 a 499";4;1212
2022;"De 50 a 99";29;1960
2022;"De 500 a 999";2;1392
2022;"Total";96;9582
2023;"1000 ou Mais";1;1093
2023;"De 100 a 249";16;2166
2023;"De 20 a 49";41;1611
2023;"De 250 a 499";3;840
2023;"De 50 a 99";25;1787
2023;"De 500 a 999";2;1438
2023;"Total";88;8935
2024;"1000 ou Mais";2;2424
2024;"De 100 a 249";18;2568
2024;"De 20 a 49";47;1842
2024;"De 250 a 499";4;1190
2024;"De 50 a 99";22;1510
2024;"De 500 a 999";1;526
2024;"Total";94;10060
2025;"1000 ou Mais";2;2687
2025;"De 100 a 249";15;2430
2025;"De 20 a 49";42;1634
2025;"De 250 a 499";4;1217
2025;"De 50 a 99";27;1884
2025;"De 500 a 999";1;553
2025;"Total";91;10405
