"Ano";"UF";"Estabelecimentos";"Vinculos"
2006;"13 - Amazonas";1;30
2006;"15 - Pará";1;33
2006;"27 - Alagoas";2;76
2006;"29 - Bahia";2;66
2006;"31 - Minas Gerais";71;11162
2006;"33 - Rio de Janeiro";12;2544
2006;"35 - São Paulo";99;13378
2006;"41 - Paraná";14;1133
2006;"42 - Santa Catarina";31;10872
2006;"43 - Rio Grande do Sul";33;5277
2006;"51 - Mato Grosso";1;61
2006;"52 - Goiás";1;43
2006;"Total";268;44675
2007;"13 - Amazonas";1;65
2007;"21 - Maranhão";0;0
2007;"23 - Ceará";0;0
2007;"26 - Pernambuco";1;32
2007;"27 - Alagoas";1;41
2007;"29 - Bahia";2;114
2007;"31 - Minas Gerais";76;11522
2007;"33 - Rio de Janeiro";14;2754
2007;"35 - São Paulo";102;16426
2007;"41 - Paraná";14;1226
2007;"42 - Santa Catarina";39;11664
2007;"43 - Rio Grande do Sul";31;6414
2007;"50 - Mato Grosso do Sul";3;133
2007;"51 - Mato Grosso";1;94
2007;"52 - Goiás";1;47
2007;"Total";286;50532
2008;"13 - Amazonas";1;88
2008;"21 - Maranhão";0;0
2008;"23 - Ceará";0;0
2008;"24 - Rio Grande do Norte";0;0
2008;"26 - Pernambuco";1;36
2008;"27 - Alagoas";1;37
2008;"28 - Sergipe";1;38
2008;"29 - Bahia";2;121
2008;"31 - Minas Gerais";78;12268
2008;"32 - Espírito Santo";2;69
2008;"33 - Rio de Janeiro";12;2452
2008;"35 - São Paulo";110;17544
2008;"41 - Paraná";14;1158
2008;"42 - Santa Catarina";37;12449
2008;"43 - Rio Grande do Sul";34;6713
2008;"50 - Mato Grosso do Sul";2;103
2008;"51 - Mato Grosso";2;104
2008;"52 - Goiás";2;80
2008;"Total";299;53260
2009;"11 - Rondônia";0;0
2009;"13 - Amazonas";1;109
2009;"21 - Maranhão";0;0
2009;"23 - Ceará";1;49
2009;"27 - Alagoas";2;68
2009;"29 - Bahia";2;89
2009;"31 - Minas Gerais";78;10404
2009;"33 - Rio de Janeiro";6;1961
2009;"35 - São Paulo";99;13037
2009;"41 - Paraná";11;881
2009;"42 - Santa Catarina";38;11061
2009;"43 - Rio Grande do Sul";34;5516
2009;"50 - Mato Grosso do Sul";1;70
2009;"52 - Goiás";1;42
2009;"Total";274;43287
2010;"11 - Rondônia";0;0
2010;"13 - Amazonas";1;105
2010;"21 - Maranhão";0;0
2010;"23 - Ceará";1;51
2010;"26 - Pernambuco";2;77
2010;"27 - Alagoas";2;68
2010;"28 - Sergipe";0;0
2010;"29 - Bahia";3;111
2010;"31 - Minas Gerais";79;12049
2010;"33 - Rio de Janeiro";5;1943
2010;"35 - São Paulo";100;15535
2010;"41 - Paraná";14;1185
2010;"42 - Santa Catarina";41;13504
2010;"43 - Rio Grande do Sul";33;6114
2010;"50 - Mato Grosso do Sul";1;74
2010;"51 - Mato Grosso";2;103
2010;"52 - Goiás";1;43
2010;"Total";285;50962
2011;"11 - Rondônia";0;0
2011;"13 - Amazonas";1;73
2011;"21 - Maranhão";0;0
2011;"23 - Ceará";2;86
2011;"26 - Pernambuco";2;102
2011;"27 - Alagoas";2;85
2011;"29 - Bahia";2;82
2011;"31 - Minas Gerais";81;12537
2011;"33 - Rio de Janeiro";6;1908
2011;"35 - São Paulo";99;16090
2011;"41 - Paraná";13;1090
2011;"42 - Santa Catarina";45;14718
2011;"43 - Rio Grande do Sul";31;5962
2011;"50 - Mato Grosso do Sul";1;73
2011;"51 - Mato Grosso";1;44
2011;"52 - Goiás";2;74
2011;"Total";288;52924
2012;"11 - Rondônia";1;30
2012;"13 - Amazonas";1;36
2012;"21 - Maranhão";0;0
2012;"23 - Ceará";3;120
2012;"26 - Pernambuco";1;52
2012;"27 - Alagoas";3;125
2012;"29 - Bahia";1;33
2012;"31 - Minas Gerais";80;11335
2012;"33 - Rio de Janeiro";4;1899
2012;"35 - São Paulo";92;13916
2012;"41 - Paraná";11;990
2012;"42 - Santa Catarina";38;13435
2012;"43 - Rio Grande do Sul";28;5170
2012;"50 - Mato Grosso do Sul";1;67
2012;"51 - Mato Grosso";1;32
2012;"52 - Goiás";1;43
2012;"Total";266;47283
2013;"11 - Rondônia";0;0
2013;"13 - Amazonas";0;0
2013;"21 - Maranhão";0;0
2013;"23 - Ceará";2;79
2013;"26 - Pernambuco";2;184
2013;"27 - Alagoas";2;80
2013;"31 - Minas Gerais";78;12451
2013;"32 - Espírito Santo";1;49
2013;"33 - Rio de Janeiro";4;1472
2013;"35 - São Paulo";92;13565
2013;"41 - Paraná";14;1208
2013;"42 - Santa Catarina";39;14337
2013;"43 - Rio Grande do Sul";29;5274
