"Ano";"UF";"Estabelecimentos";"Vinculos"
2006;"13 - Amazonas";2;668
2006;"15 - Pará";0;0
2006;"27 - Alagoas";0;0
2006;"29 - Bahia";1;41
2006;"31 - Minas Gerais";16;2136
2006;"33 - Rio de Janeiro";6;408
2006;"35 - São Paulo";66;7164
2006;"41 - Paraná";7;844
2006;"42 - Santa Catarina";8;997
2006;"43 - Rio Grande do Sul";9;493
2006;"51 - Mato Grosso";0;0
2006;"52 - Goiás";0;0
2006;"Total";115;12751
2007;"13 - Amazonas";2;796
2007;"21 - Maranhão";1;32
2007;"23 - Ceará";1;51
2007;"26 - Pernambuco";1;37
2007;"27 - Alagoas";0;0
2007;"29 - Bahia";0;0
2007;"31 - Minas Gerais";15;2274
2007;"33 - Rio de Janeiro";5;330
2007;"35 - São Paulo";76;7231
2007;"41 - Paraná";7;983
2007;"42 - Santa Catarina";15;1251
2007;"43 - Rio Grande do Sul";8;502
2007;"50 - Mato Grosso do Sul";0;0
2007;"51 - Mato Grosso";0;0
2007;"52 - Goiás";0;0
2007;"Total";131;13487
2008;"13 - Amazonas";2;682
2008;"21 - Maranhão";1;31
2008;"23 - Ceará";1;44
2008;"24 - Rio Grande do Norte";1;38
2008;"26 - Pernambuco";0;0
2008;"27 - Alagoas";0;0
2008;"28 - Sergipe";0;0
2008;"29 - Bahia";0;0
2008;"31 - Minas Gerais";14;2126
2008;"32 - Espírito Santo";0;0
2008;"33 - Rio de Janeiro";7;446
2008;"35 - São Paulo";76;7079
2008;"41 - Paraná";5;1013
2008;"42 - Santa Catarina";14;1305
2008;"43 - Rio Grande do Sul";6;407
2008;"50 - Mato Grosso do Sul";0;0
2008;"51 - Mato Grosso";0;0
2008;"52 - Goiás";0;0
2008;"Total";127;13171
2009;"11 - Rondônia";1;35
2009;"13 - Amazonas";2;562
2009;"21 - Maranhão";1;37
2009;"23 - Ceará";1;54
2009;"27 - Alagoas";0;0
2009;"29 - Bahia";0;0
2009;"31 - Minas Gerais";13;2054
2009;"33 - Rio de Janeiro";6;369
2009;"35 - São Paulo";72;6461
2009;"41 - Paraná";3;997
2009;"42 - Santa Catarina";10;1008
2009;"43 - Rio Grande do Sul";6;456
2009;"50 - Mato Grosso do Sul";0;0
2009;"52 - Goiás";0;0
2009;"Total";115;12033
2010;"11 - Rondônia";1;35
2010;"13 - Amazonas";2;544
2010;"21 - Maranhão";1;37
2010;"23 - Ceará";1;76
2010;"26 - Pernambuco";1;31
2010;"27 - Alagoas";0;0
2010;"28 - Sergipe";1;31
2010;"29 - Bahia";0;0
2010;"31 - Minas Gerais";14;2621
2010;"33 - Rio de Janeiro";8;475
2010;"35 - São Paulo";73;7284
2010;"41 - Paraná";6;1328
2010;"42 - Santa Catarina";9;1190
2010;"43 - Rio Grande do Sul";6;451
2010;"50 - Mato Grosso do Sul";0;0
2010;"51 - Mato Grosso";0;0
2010;"52 - Goiás";0;0
2010;"Total";123;14103
2011;"11 - Rondônia";1;38
2011;"13 - Amazonas";2;771
2011;"21 - Maranhão";1;46
2011;"23 - Ceará";2;83
2011;"26 - Pernambuco";0;0
2011;"27 - Alagoas";0;0
2011;"29 - Bahia";0;0
2011;"31 - Minas Gerais";13;2434
2011;"33 - Rio de Janeiro";8;464
2011;"35 - São Paulo";73;7413
2011;"41 - Paraná";6;3081
2011;"42 - Santa Catarina";9;1306
2011;"43 - Rio Grande do Sul";6;469
2011;"50 - Mato Grosso do Sul";0;0
2011;"51 - Mato Grosso";0;0
2011;"52 - Goiás";2;103
2011;"Total";123;16208
2012;"11 - Rondônia";1;36
2012;"13 - Amazonas";2;580
2012;"21 - Maranhão";1;46
2012;"23 - Ceará";2;96
2012;"26 - Pernambuco";0;0
2012;"27 - Alagoas";0;0
2012;"29 - Bahia";0;0
2012;"31 - Minas Gerais";12;2350
2012;"33 - Rio de Janeiro";9;494
2012;"35 - São Paulo";67;6449
2012;"41 - Paraná";8;3259
2012;"42 - Santa Catarina";8;384
2012;"43 - Rio Grande do Sul";7;477
2012;"50 - Mato Grosso do Sul";0;0
2012;"51 - Mato Grosso";0;0
2012;"52 - Goiás";1;67
2012;"Total";118;14238
2013;"11 - Rondônia";1;35
2013;"13 - Amazonas";2;501
2013;"21 - Maranhão";1;35
2013;"23 - Ceará";4;172
2013;"26 - Pernambuco";0;0
2013;"27 - Alagoas";0;0
2013;"31 - Minas Gerais";10;2240
2013;"32 - Espírito Santo";0;0
2013;"33 - Rio de Janeiro";9;579
2013;"35 - São Paulo";63;4586
2013;"41 - Paraná";9;3901
2013;"42 - Santa Catarina";8;420
2013;"43 - Rio Grande do Sul";7;440
2013;"50 - Mato Grosso do Sul";0;0
2013;"52 - Goiás";2;91
2013;"Total";116;13000
2014;"11 - Rondônia";1;46
2014;"13 - Amazonas";1;469
2014;"23 - Ceará";4;172
2014;"24 - Rio Grande do Norte";0;0
2014;"26 - Pernambuco";0;0
2014;"27 - Alagoas";0;0
2014;"31 - Minas Gerais";10;1813
2014;"32 - Espírito Santo";0;0
2014;"33 - Rio de Janeiro";9;490
2014;"35 - São Paulo";55;3941
2014;"41 - Paraná";5;3037
2014;"42 - Santa Catarina";7;361
2014;"43 - Rio Grande do Sul";6;415
2014;"50 - Mato Grosso do Sul";0;0
2014;"52 - Goiás";1;48
2014;"Total";99;10792
2015;"11 - Rondônia";1;39
2015;"13 - Amazonas";1;476
2015;"22 - Piauí";0;0
2015;"23 - Ceará";2;100
2015;"26 - Pernambuco";0;0
2015;"27 - Alagoas";0;0
2015;"31 - Minas Gerais";11;1660
2015;"32 - Espírito Santo";0;0
2015;"33 - Rio de Janeiro";8;360
2015;"35 - São Paulo";48;3290
2015;"41 - Paraná";8;2547
2015;"42 - Santa Catarina";5;284
2015;"43 - Rio Grande do Sul";5;349
2015;"50 - Mato Grosso do Sul";0;0
2015;"52 - Goiás";1;33
2015;"Total";90;9138
2016;"13 - Amazonas";1;432
2016;"22 - Piauí";0;0
2016;"23 - Ceará";2;71
2016;"26 - Pernambuco";0;0
2016;"27 - Alagoas";0;0
2016;"31 - Minas Gerais";11;1495
2016;"32 - Espírito Santo";0;0
2016;"33 - Rio de Janeiro";5;237
2016;"35 - São Paulo";39;3016
2016;"41 - Paraná";7;2506
2016;"42 - Santa Catarina";4;237
2016;"43 - Rio Grande do Sul";5;342
2016;"50 - Mato Grosso do Sul";0;0
2016;"52 - Goiás";1;34
2016;"Total";75;8370
