"data";"ano";"mes";"ipca_indice_inflacao";"dolar_venda";"ipp_metalurgia_indice"
"01/02/1953";1953;2;NA;38;NA
"01/03/1953";1953;3;NA;38,2581;NA
"01/04/1953";1953;4;NA;41,9333;NA
"01/05/1953";1953;5;NA;40,2581;NA
"01/06/1953";1953;6;NA;44,07;NA
"01/07/1953";1953;7;NA;44,38;NA
"01/08/1953";1953;8;NA;40,6677;NA
"01/09/1953";1953;9;NA;38,4867;NA
"01/10/1953";1953;10;NA;38,1;NA
"01/11/1953";1953;11;NA;38,5967;NA
"01/12/1953";1953;12;NA;53,0968;NA
"01/01/1954";1954;1;NA;56,37;NA
"01/02/1954";1954;2;NA;54,8929;NA
"01/03/1954";1954;3;NA;59,9452;NA
"01/04/1954";1954;4;NA;58,09;NA
"01/05/1954";1954;5;NA;52,1452;NA
"01/06/1954";1954;6;NA;56,5333;NA
"01/07/1954";1954;7;NA;57,6613;NA
"01/08/1954";1954;8;NA;60,0419;NA
"01/09/1954";1954;9;NA;61,3667;NA
"01/10/1954";1954;10;NA;63,5129;NA
"01/11/1954";1954;11;NA;65,6833;NA
"01/12/1954";1954;12;NA;71,1613;NA
"01/01/1955";1955;1;NA;73,4355;NA
"01/02/1955";1955;2;NA;71,5357;NA
"01/03/1955";1955;3;NA;72,5806;NA
"01/04/1955";1955;4;NA;75,0333;NA
"01/05/1955";1955;5;NA;75,5;NA
"01/06/1955";1955;6;NA;75,4667;NA
"01/07/1955";1955;7;NA;74,21;NA
"01/08/1955";1955;8;NA;71,4677;NA
"01/09/1955";1955;9;NA;70,3833;NA
"01/10/1955";1955;10;NA;66,9355;NA
"01/11/1955";1955;11;NA;65,0167;NA
"01/12/1955";1955;12;NA;65,5645;NA
"01/01/1956";1956;1;NA;66,5806;NA
"01/02/1956";1956;2;NA;68,9828;NA
"01/03/1956";1956;3;NA;68,6935;NA
"01/04/1956";1956;4;NA;70,0667;NA
"01/05/1956";1956;5;NA;72,3871;NA
"01/06/1956";1956;6;NA;78;NA
"01/07/1956";1956;7;NA;77,6129;NA
"01/08/1956";1956;8;NA;72;NA
"01/09/1956";1956;9;NA;71,5;NA
"01/10/1956";1956;10;NA;67;NA
"01/11/1956";1956;11;NA;66,9333;NA
"01/12/1956";1956;12;NA;65,0645;NA
"01/01/1957";1957;1;NA;65,5;NA
"01/02/1957";1957;2;NA;65,5286;NA
"01/03/1957";1957;3;NA;66,2;NA
"01/04/1957";1957;4;NA;65,4067;NA
"01/05/1957";1957;5;NA;68,6613;NA
"01/06/1957";1957;6;NA;73,25;NA
"01/07/1957";1957;7;NA;71,0871;NA
"01/08/1957";1957;8;NA;74,0419;NA
"01/09/1957";1957;9;NA;79,1;NA
"01/10/1957";1957;10;NA;82,2581;NA
"01/11/1957";1957;11;NA;86,49;NA
"01/12/1957";1957;12;NA;93,2194;NA
"01/01/1958";1958;1;NA;92,8742;NA
"01/02/1958";1958;2;NA;99,5679;NA
"01/03/1958";1958;3;NA;103,2194;NA
"01/04/1958";1958;4;NA;113,1333;NA
"01/05/1958";1958;5;NA;130,4258;NA
"01/06/1958";1958;6;NA;131,0333;NA
