"Período";"Aço Bruto";"Laminados";"Laminados Planos";"Laminados Longos";"Perfis leves";"Perfis médios e pesados";"Vergalhões";"Ferro-Gusa*";"Semi-Acabados";"Semi-Acabados: Placas";"Semi-Acabados: Lingotes, blocos e tarugos"
1980-01-01;1220127;961805;NA;NA;24702;13344;147208;NA;NA;NA;NA
1980-02-01;1172345;898178;NA;NA;21205;17322;112766;NA;NA;NA;NA
1980-03-01;1271112;1026957;NA;NA;26769;14431;134720;NA;NA;NA;NA
1980-04-01;1250102;941401;NA;NA;20949;11115;121260;NA;NA;NA;NA
1980-05-01;1330039;1030191;NA;NA;30621;16191;158226;NA;NA;NA;NA
1980-06-01;1266556;1033199;NA;NA;28711;12121;133356;NA;NA;NA;NA
1980-07-01;1313310;1040257;NA;NA;20114;19701;145781;NA;NA;NA;NA
1980-08-01;1289419;1055800;NA;NA;21266;15038;155086;NA;NA;NA;NA
1980-09-01;1262635;1033371;NA;NA;30569;19063;139656;NA;NA;NA;NA
1980-10-01;1351023;1090245;NA;NA;34938;26952;148977;NA;NA;NA;NA
1980-11-01;1321023;1117929;NA;NA;20838;30576;136621;NA;NA;NA;NA
1980-12-01;1289619;1094960;NA;NA;27515;27210;154025;NA;NA;NA;NA
1981-01-01;1308900;1049047;NA;NA;27392;25505;124296;NA;NA;NA;NA
1981-02-01;1197600;960701;NA;NA;29981;18168;132744;NA;NA;NA;NA
1981-03-01;1296300;1020279;NA;NA;20213;17753;140637;NA;NA;NA;NA
1981-04-01;1136400;918608;NA;NA;15332;23304;145548;NA;NA;NA;NA
1981-05-01;1184500;855449;NA;NA;22989;24741;144001;NA;NA;NA;NA
1981-06-01;1052600;836765;NA;NA;17966;28606;137766;NA;NA;NA;NA
1981-07-01;980900;830868;NA;NA;20068;19571;133987;NA;NA;NA;NA
1981-08-01;1012400;722196;NA;NA;15446;15696;154052;NA;NA;NA;NA
1981-09-01;992200;779816;NA;NA;17460;17957;160314;NA;NA;NA;NA
1981-10-01;1022200;836047;NA;NA;16853;18270;162928;NA;NA;NA;NA
1981-11-01;970300;788319;NA;NA;15990;8241;158886;NA;NA;NA;NA
1981-12-01;1071200;849213;NA;NA;18066;9592;176547;NA;NA;NA;NA
1982-01-01;1073400;861977;NA;NA;19743;14163;156375;NA;NA;NA;NA
1982-02-01;994900;823252;NA;NA;17513;12077;159482;NA;NA;NA;NA
1982-03-01;1011300;968642;NA;NA;18221;12066;155918;NA;NA;NA;NA
1982-04-01;976600;920940;NA;NA;24401;17754;139859;NA;NA;NA;NA
1982-05-01;1071400;950968;NA;NA;20637;16533;161701;NA;NA;NA;NA
1982-06-01;1055700;951833;NA;NA;26011;14220;153263;NA;NA;NA;NA
1982-07-01;1238100;1005109;NA;NA;34692;13040;157944;NA;NA;NA;NA
1982-08-01;1210900;986179;NA;NA;29517;17511;152019;NA;NA;NA;NA
1982-09-01;1174700;928926;NA;NA;26873;15241;128427;NA;NA;NA;NA
1982-10-01;1172100;908786;NA;NA;27858;13518;139814;NA;NA;NA;NA
1982-11-01;1069200;864482;NA;NA;21298;16880;132759;NA;NA;NA;NA
1982-12-01;946900;766418;NA;NA;20583;11866;134570;NA;NA;NA;NA
1983-01-01;1059600;774684;NA;NA;18178;9311;115098;NA;NA;NA;NA
1983-02-01;917700;744880;NA;NA;10890;3256;110604;NA;NA;NA;NA
1983-03-01;1128400;903884;NA;NA;9712;8243;134180;NA;NA;NA;NA
1983-04-01;1159900;935017;NA;NA;16336;16760;139787;NA;NA;NA;NA
1983-05-01;1246400;953274;NA;NA;10977;13736;158690;NA;NA;NA;NA
1983-06-01;1199900;955291;NA;NA;13824;10626;153881;NA;NA;NA;NA
1983-07-01;1278200;1008154;NA;NA;16467;13028;161828;NA;NA;NA;NA
1983-08-01;1309800;1071372;NA;NA;11597;8374;180022;NA;NA;NA;NA
1983-09-01;1286700;1075806;NA;NA;26187;9106;153339;NA;NA;NA;NA
1983-10-01;1324700;1101442;NA;NA;19369;7061;192427;NA;NA;NA;NA
1983-11-01;1313500;1104217;NA;NA;20609;8458;182885;NA;NA;NA;NA
1983-12-01;1446600;1149634;NA;NA;22449;7760;188302;NA;NA;NA;NA
1984-01-01;1464500;1055520;NA;NA;26128;7928;147016;NA;NA;NA;NA
1984-02-01;1376600;1003545;NA;NA;14770;13064;155354;NA;NA;NA;NA
1984-03-01;1522600;1141405;NA;NA;23205;12932;189813;NA;NA;NA;NA
1984-04-01;1533600;1058173;NA;NA;22882;6145;161357;NA;NA;NA;NA
1984-05-01;1590900;1148625;NA;NA;23746;11188;190009;NA;NA;NA;NA
1984-06-01;1475200;1107430;NA;NA;20102;11581;191386;NA;NA;NA;NA
1984-07-01;1581000;1147943;NA;NA;28229;8058;192838;NA;NA;NA;NA
1984-08-01;1633500;1238991;NA;NA;23568;14892;209506;NA;NA;NA;NA
1984-09-01;1514600;1215679;NA;NA;19484;13625;184320;NA;NA;NA;NA
1984-10-01;1586000;1243704;NA;NA;23606;8822;193992;NA;NA;NA;NA
1984-11-01;1527700;1162451;NA;NA;29913;6590;186729;NA;NA;NA;NA
1984-12-01;1579500;1143280;NA;NA;18735;10764;173528;NA;NA;NA;NA
1985-01-01;1490100;1172276;NA;NA;20851;13658;177143;NA;NA;NA;NA
1985-02-01;1424300;1008773;NA;NA;15916;14362;145053;NA;NA;NA;NA
1985-03-01;1669400;1190923;NA;NA;20386;15572;140201;NA;NA;NA;NA
1985-04-01;1564200;1157110;NA;NA;21396;13767;162653;NA;NA;NA;NA
1985-05-01;1760300;1178368;NA;NA;13704;21231;169246;NA;NA;NA;NA
1985-06-01;1690100;1162226;NA;NA;15444;16171;206467;NA;NA;NA;NA
1985-07-01;1857900;1264666;NA;NA;12882;19889;193460;NA;NA;NA;NA
1985-08-01;1797100;1294391;NA;NA;12196;11627;203574;NA;NA;NA;NA
1985-09-01;1775600;1279386;NA;NA;21284;13438;195481;NA;NA;NA;NA
1985-10-01;1795200;1306058;NA;NA;25686;14035;212404;NA;NA;NA;NA
1985-11-01;1765200;1220881;NA;NA;32819;9803;193183;NA;NA;NA;NA
1985-12-01;1866100;1296585;NA;NA;17582;16277;230995;NA;NA;NA;NA
1986-01-01;1769400;1293000;732500;560500;22792;14243;202922;NA;338400;254000;84400
1986-02-01;1583600;1330400;772600;557800;17625;11497;166198;NA;231100;158900;72200
1986-03-01;1738200;1330100;772600;557500;34699;13678;179311;NA;317500;239400;78100
1986-04-01;1635800;1258900;746600;512300;22544;17344;181752;NA;321100;239700;81400
1986-05-01;1819300;1306700;751100;555600;21911;14580;186736;NA;328200;262300;65900
1986-06-01;1715100;1275450;732050;543400;20846;19135;175773;NA;336100;269500;66600
1986-07-01;1667300;1314830;748880;565950;34834;9968;173004;NA;322900;260100;62800
1986-08-01;1824400;1373260;784760;588500;27906;19400;181522;NA;372800;264650;108150
1986-09-01;1891200;1356290;744090;612200;36531;21526;179654;NA;422700;269200;153500
1986-10-01;1931200;1433500;797600;635900;33986;23415;200116;NA;419600;271650;147950
1986-11-01;1788600;1306500;716500;590000;40598;20791;196130;NA;416500;274100;142400
1986-12-01;1869200;1369300;782200;587100;33389;17525;198590;NA;481900;319100;162800
1987-01-01;1896900;1305500;692200;613300;39268;23605;201786;NA;475300;313500;161800
1987-02-01;1727100;1337600;744200;593400;33263;17097;171681;NA;401700;257500;144200
1987-03-01;1724900;1337700;744300;593400;41821;21541;171400;NA;488600;324100;164500
1987-04-01;1646800;1202800;688600;514200;29845;17075;150740;NA;438100;296300;141800
1987-05-01;1737100;1305200;770100;535100;30171;26285;144498;NA;482100;321000;161100
1987-06-01;1684800;1227900;677700;550200;14966;21883;190359;NA;428200;255500;172700
1987-07-01;1843200;1272900;768500;504400;15571;21924;181809;NA;433100;227100;206000
1987-08-01;1928300;1312000;776300;535700;14647;26402;193671;NA;475200;278900;196300
1987-09-01;1985100;1322600;817600;505000;25157;16350;166759;NA;527800;316900;210900
1987-10-01;2036600;1391800;810000;581800;24378;13685;203939;NA;517500;322600;194900
1987-11-01;2006000;1384100;810200;573900;16936;22389;176432;NA;482400;301100;181300
1987-12-01;1991100;1376400;833700;542700;23778;14999;189961;NA;531700;305200;226500
1988-01-01;2052500;1350100;813000;537100;19100;19300;196400;NA;428900;236900;192000
1988-02-01;1911400;1276100;772900;503200;16400;22000;174100;NA;300600;104900;195700
1988-03-01;2109700;1334200;817400;516800;26600;18500;192500;NA;629600;322000;307600
1988-04-01;1904400;1392300;861900;530400;14600;15800;179300;NA;633400;182000;451400
1988-05-01;1920200;1349100;806300;542800;14200;21300;199800;NA;542200;336400;205800
1988-06-01;1993400;1224900;718500;506400;12400;19200;169200;NA;557900;291400;266500
1988-07-01;2103400;1351400;798500;552900;9100;31700;194000;NA;301200;101200;200000
1988-08-01;2178800;1406100;865000;541100;7400;21200;178800;NA;533200;330100;203100
1988-09-01;2195900;1356400;804500;551900;19200;15600;174600;NA;706200;399500;306700
1988-10-01;2244800;1420700;869600;551100;9400;22100;188100;NA;626000;348100;277900
1988-11-01;1904200;1207000;697400;509600;13400;21600;170000;NA;612500;402400;210100
1988-12-01;2138200;1408200;855200;553000;15300;15800;195400;NA;472900;227700;245200
1989-01-01;2141500;1371932,51770484;835075,742899705;536856,774805131;17700;21800;189100;NA;442100;247000;195100
1989-02-01;1996600;1336609,84661542;815425,042539166;521184,804076251;11900;16500;156300;NA;455200,278488975;266279,493260409;188920,785228566
1989-03-01;2121600;1302207,08626352;796236,755352453;505970,330911067;12700;14500;184700;NA;468688,743579373;285751,464792197;182937,278787176
1989-04-01;2069300;1268700;777500;491200;8200;19400;195000;NA;482576,897991356;305433,615797351;177143,282194005
1989-05-01;2004700;1324400;784100;540300;17600;13300;207600;NA;496876,585292946;325343,79200716;171532,793285786
1989-06-01;1975700;1355800;798800;557000;15800;14500;216900;NA;511600;345500;166100
1989-07-01;2101800;1384000;828500;555500;26400;8600;211600;NA;548400;307600;240800
1989-08-01;2220700;1397900;794400;603500;21600;21400;227000;NA;608200;348800;259400
1989-09-01;2136900;1418550;815400;603150;21100;32600;199900;NA;476500;256100;220400
1989-10-01;2155400;1439200;836400;602800;26500;21600;218000;NA;582100;247800;334300
1989-11-01;2045400;1412600;868500;544100;19000;19300;186100;NA;441100;199100;242000
1989-12-01;2085500;1423000;886400;536600;23300;13900;228600;NA;483400;259200;224200
1990-01-01;1963300;1339000;779500;559500;23600;11100;228300;NA;441400;215200;226200
1990-02-01;1727900;1193500;678100;515400;9200;12900;228900;NA;417500;168000;249500
1990-03-01;1892100;1323700;775300;548400;11400;15100;215100;NA;341300;85600;255700
1990-04-01;1467700;1051800;639900;411900;3700;3700;216600;NA;373800;163100;210700
1990-05-01;1540700;1105600;617300;488300;8800;6200;219900;NA;368100;163800;204300
1990-06-01;1515800;1242400;701300;541100;15400;8200;194500;NA;402900;187600;215300
1990-07-01;1627800;1178200;605800;572400;15100;10500;230000;NA;402300;194500;207800
1990-08-01;1550600;1258100;705700;552400;17300;14800;190300;NA;268200;64700;203500
1990-09-01;1804500;1311900;819100;492800;18500;13000;173700;NA;416600;213500;203100
1990-10-01;1904300;1353800;871400;482400;11800;13400;171800;NA;446600;276500;170100
1990-11-01;1732800;1197400;767100;430300;7700;5000;138100;NA;456100;291700;164400
1990-12-01;1839100;1191100;804700;386400;7100;4000;131100;NA;545400;342700;202700
1991-01-01;1845300;1187600;756200;431400;11100;3400;156400;NA;556600;349800;206800
1991-02-01;1694100;1062900;678400;384500;11200;3900;130000;NA;470300;323900;146400
1991-03-01;1914500;1127800;689000;438800;12100;8000;146700;NA;547100;335900;211200
1991-04-01;1870100;1175700;749400;426300;13100;8200;153400;NA;474300;299300;175000
1991-05-01;1930800;1351600;903700;447900;13700;13700;160700;NA;463200;291900;171300
1991-06-01;1705000;1265100;782700;482400;15800;7900;177400;NA;453900;271700;182200
1991-07-01;1866900;1274300;755000;519300;16600;12200;184200;NA;482300;306000;176300
1991-08-01;1990700;1328300;809800;518500;21900;9300;183100;NA;496900;328400;168500
1991-09-01;1996400;1369500;859000;510500;16100;15700;186200;NA;465800;308500;157300
1991-10-01;2033200;1352800;834200;518600;19600;12900;192100;NA;488400;333600;154800
1991-11-01;1945700;1251200;800300;450900;14500;13900;172100;NA;479000;306300;172700
1991-12-01;1825600;1196100;789600;406500;14400;8100;146400;NA;521900;330800;191100
1992-01-01;1925900;1300400;845000;455400;10800;11300;168100;NA;452800;274600;178200
1992-02-01;1877900;1222600;750400;472200;15000;8700;173500;NA;487600;318800;168800
1992-03-01;2036000;1302900;819300;483600;14600;10000;179400;NA;519500;335100;184400
1992-04-01;1949400;1279500;809900;469600;11600;15100;177700;NA;490000;300500;189500
1992-05-01;2059400;1405600;912200;493400;11800;13100;178100;NA;508800;313700;195100
1992-06-01;1950400;1325000;840200;484800;12500;10200;169400;NA;461100;264200;196900
1992-07-01;2024900;1376900;858200;518700;12000;10900;175100;NA;450500;261100;189400
1992-08-01;2079000;1399600;876400;523200;9900;15400;184200;NA;488500;304300;184200
1992-09-01;1928900;1335400;841500;493900;15700;15300;159500;NA;422800;260300;162500
1992-10-01;2009700;1329100;830600;498500;11300;12500;165600;NA;467800;298800;169000
1992-11-01;2032700;1286300;815700;470600;10500;12900;175300;NA;487500;309200;178300
1992-12-01;2021800;1312300;863500;448800;12200;8800;172600;NA;546100;340200;205900
1993-01-01;1999400;1259900;767400;492500;11700;9300;195100;NA;589300;393800;195500
1993-02-01;1875100;1170900;677300;493600;12600;11800;178400;NA;476100;296500;179600
1993-03-01;2005400;1375800;821900;553900;16000;10700;185600;NA;484400;300200;184200
1993-04-01;2080400;1327700;782900;544800;13000;15200;182000;NA;531600;337600;194000
1993-05-01;2151200;1419100;860000;559100;14600;13300;194500;NA;571300;371300;200000
1993-06-01;2142000;1461300;895100;566200;12800;16400;205600;NA;541400;352200;189200
1993-07-01;2193200;1508000;936600;571400;16200;12700;216400;NA;503500;318700;184800
1993-08-01;2216200;1440600;866600;574000;18000;17900;200600;NA;570300;363300;207000
1993-09-01;2142000;1401800;842700;559100;14400;16900;205300;NA;556900;346900;210000
1993-10-01;2185300;1413700;858400;555300;15700;20900;180400;NA;578800;346100;232700
1993-11-01;2130300;1371300;839600;531700;13400;15600;180000;NA;535600;331800;203800
1993-12-01;2082200;1365700;867300;498400;10800;13700;175400;NA;536300;342200;194100
1994-01-01;2134300;1251900;762900;489000;14600;16600;198000;NA;520300;347500;172800
1994-02-01;1963100;1254600;762800;491800;10500;11500;181400;NA;569000;345900;223100
1994-03-01;2171200;1476300;907100;569200;13200;17800;205000;NA;559440,287700408;336655,112734337;222699,280682059
1994-04-01;2147700;1392100;839800;552300;12000;17500;200000;NA;550041,187174543;327657,314050793;222299,281112983
1994-05-01;2252400;1464100;905500;558600;12500;17200;178300;NA;540800;318900;221900
1994-06-01;2220300;1450300;896700;553600;14584;15650;187370;NA;572200;356600;215600
1994-07-01;2240800;1474400;891500;582900;15400;18900;200700;NA;550700;357500;193200
1994-08-01;2095300;1495600;909900;585700;17920;16656;199772;NA;468600;319900;148700
1994-09-01;1999700;1487000;926600;560400;15400;16300;181500;NA;408100;321900;86200
1994-10-01;2158600;1504300;943100;561200;16000;17500;179900;NA;469700;351300;118400
1994-11-01;2118800;1449000;891400;557600;17064;19130;180432;NA;523300;327800;195500
1994-12-01;2219200;1482500;958900;523600;19545;16120;143759;NA;559700;386000;173700
1995-01-01;2136000;1423000;942200;480800;15395;19499;144279;NA;533900;361200;172700
1995-02-01;1921900;1231400;798000;433400;17257;17675;118238;NA;498500;324100;174400
1995-03-01;2193800;1463900;944700;519200;18771;19882;139267;NA;578200;404300;173900
1995-04-01;1912200;1367800;886900;480900;15498;20746;133040;NA;510400;337000;173400
1995-05-01;2046900;1325500;854900;470600;10100;8300;144000;NA;502700;341300;161400
1995-06-01;1986200;1298900;881700;417200;10600;11500;135500;NA;494900;349900;145000
1995-07-01;2225700;1402900;951700;451200;10300;9900;147700;NA;589300;439200;150100
1995-08-01;2294900;1388800;909100;479700;11300;9600;147300;NA;648700;457400;191400
1995-09-01;2079100;1290500;836600;453900;11200;12700;150900;NA;525300;368300;157000
1995-10-01;2156300;1336500;870500;466000;10600;15200;167000;NA;573500;384400;189100
1995-11-01;2016900;1262900;837100;425800;9700;15100;149600;NA;559800;360500;199300
1995-12-01;2028200;1261900;910900;351000;11600;17400;117100;NA;609300;419300;188000
1996-01-01;2050100;1347700;891200;456500;16900;5000;145100;NA;561000;344600;216400
1996-02-01;1960200;1313400;888000;425400;15600;4000;131200;NA;538600;338000;200600
1996-03-01;2042600;1360400;900000;460400;14600;4900;149000;NA;501600;308900;192700
1996-04-01;1888600;1305500;854600;450900;16200;5900;70300;NA;495800;315200;180600
1996-05-01;1950500;1311700;846800;464900;20100;5500;179500;NA;548000;368500;179500
1996-06-01;2062000;1305800;825100;480700;20400;6400;179700;NA;510800;371800;139000
1996-07-01;2229500;1468300;952500;515800;22500;5000;196300;NA;530900;362300;168600
1996-08-01;2230100;1454900;946700;508200;19300;7500;178900;NA;553400;379400;174000
1996-09-01;2181800;1476600;964400;512200;16400;6000;185400;NA;552900;377700;175200
1996-10-01;2238800;1527000;1010800;516200;21400;5400;193000;NA;626600;434700;191900
1996-11-01;2194500;1397100;949700;447400;20500;6900;157400;NA;557200;382600;174600
1996-12-01;2182300;1458200;1000200;458000;20200;4100;164900;NA;554500;377100;177400
1997-01-01;2047900;1389700;935300;454400;17900;8700;176300;NA;538900;389500;149400
1997-02-01;2015400;1318200;846900;471300;19700;8200;181300;NA;519600;351800;167800
1997-03-01;2217200;1451300;936300;515000;18600;7400;193900;NA;538300;329800;208500
1997-04-01;2191700;1432700;922500;510200;20800;5800;192800;NA;513200;363000;150200
1997-05-01;2240600;1547000;1013400;533600;20100;5300;207800;NA;548600;339000;209600
1997-06-01;2261500;1497800;991900;505900;21600;7200;193100;NA;590200;380600;209600
1997-07-01;2252100;1510000;993200;516800;24600;4900;210600;NA;591500;378400;213100
1997-08-01;2267800;1495800;968100;527700;21600;8000;198500;NA;612900;419200;193700
1997-09-01;2227500;1508350;959800;548550;20500;13300;197000;NA;585300;390550;194750
1997-10-01;2140900;1506800;937400;569400;23100;13300;212800;NA;557700;361900;195800
1997-11-01;2088300;1369200;842900;526300;27400;9500;195900;NA;572500;393100;179400
1997-12-01;2200200;1389800;919500;470300;21900;9000;192800;NA;565900;391000;174900
1998-01-01;2156700;1305600;855200;450400;18400;13100;181800;NA;550100;393000;157000
1998-02-01;1992300;1271600;811900;459700;24100;10400;171300;NA;509900;377600;132300
1998-03-01;2158900;1466800;936700;530100;26900;14700;210000;NA;579000;430900;148100
1998-04-01;2138700;1411700;876400;535300;20200;19400;204900;NA;559700;417400;142300
1998-05-01;2258900;1508800;958200;550600;24900;13700;218000;NA;552300;385900;166400
1998-06-01;2181100;1512400;995700;516700;19500;12200;204900;NA;549100;399400;149700
1998-07-01;2378000;1523600;995900;527700;27500;12200;209300;NA;634100;446800;187300
1998-08-01;2349200;1465400;930800;534600;20400;11100;213600;NA;610400;439500;170900
1998-09-01;2122400;1441500;910100;531400;28900;9700;193800;NA;546200;379700;166500
1998-10-01;2131000;1307400;799300;508100;25800;14600;202000;NA;601700;443600;158100
1998-11-01;1995100;1146300;673200;473100;23600;10500;191300;NA;608600;436600;172000
1998-12-01;1890000;1044000;642500;401500;23000;15300;163600;NA;554700;406700;148000
1999-01-01;2026600;1123700;718800;404900;22400;13300;163200;NA;597800;446000;151800
1999-02-01;1888800;1234500;738800;495700;24100;15500;188400;NA;527300;404500;122800
1999-03-01;2129600;1438900;836900;602000;24300;20200;225600;NA;596000;454700;141300
1999-04-01;2123000;1409200;856200;553000;27400;17600;217100;NA;580100;446200;133900
1999-05-01;2176600;1457800;886400;571400;26900;21100;220000;NA;581700;433300;148400
1999-06-01;2046700;1448100;875300;572800;25300;21700;188500;NA;593100;426700;166400
1999-07-01;2039200;1538200;914700;623500;28600;22400;238000;NA;542600;391500;151100
1999-08-01;2136900;1498700;898100;600600;25800;20300;223500;NA;644100;475000;169100
1999-09-01;2088700;1460700;849600;611100;30900;24200;240600;NA;628200;470100;158100
1999-10-01;2036800;1422700;830200;592500;25200;18800;215500;NA;582300;425200;157100
1999-11-01;2143800;1387000;864400;522600;25900;17500;177400;NA;584700;435000;149700
1999-12-01;2121700;1326100;853800;472300;20600;11300;171400;NA;718600;612800;105800
2000-01-01;2187200;1280000;745500;534500;26600;19100;174500;NA;643800;523900;119900
2000-02-01;2157700;1438800;878500;560300;24500;22000;201000;NA;605000;475300;129700
2000-03-01;2349600;1500500;920000;580500;28700;17300;187700;NA;623400;494700;128700
2000-04-01;2201500;1491200;915300;575900;23700;14900;196500;NA;514300;386100;128200
2000-05-01;2447700;1598700;971500;627200;25100;19900;215200;NA;652900;492800;160100
2000-06-01;2294600;1577300;982200;595100;20700;20900;190100;NA;614700;470600;144100
2000-07-01;2284900;1606700;1014600;592100;24200;26000;213500;NA;527100;360600;166500
2000-08-01;2439500;1609100;990500;618600;27500;26300;202300;NA;629200;439100;190100
2000-09-01;2378300;1599900;981400;618500;20800;28600;213400;NA;690200;470400;219800
2000-10-01;2397700;1581900;977100;604800;25200;19100;216700;NA;655100;448200;206900
2000-11-01;2310200;1514500;958100;556400;20000;26100;183400;NA;660800;468700;192100
2000-12-01;2398300;1407700;878100;529600;31400;17000;198800;NA;735900;531900;204000
2001-01-01;2394100;1497300;893200;604100;32300;19400;213500;NA;622100;472200;149900
