"Período";"Aço Bruto";"Laminados";"Laminados Planos";"Laminados Longos";"Ferro-Gusa";"Total sem Ferro-Gusa";"Semi-Acabados";"Semi-Acabados: Placas";"Semi-Acabados: Lingotes, blocos e tarugos";"TOTAL"
1980-01-01;1200165,20431429;969122,510683992;NA;NA;NA;2169287,71499828;NA;NA;NA;NA
1980-02-01;1238517,16833204;970910,896027041;NA;NA;NA;2209428,06435908;NA;NA;NA;NA
1980-03-01;1256250,59823328;983589,453395712;NA;NA;NA;2239840,05162899;NA;NA;NA;NA
1980-04-01;1301789,42688269;971151,241612742;NA;NA;NA;2272940,66849543;NA;NA;NA;NA
1980-05-01;1294385,48586643;1033302,61492577;NA;NA;NA;2327688,1007922;NA;NA;NA;NA
1980-06-01;1304128,06353364;1040372,76303903;NA;NA;NA;2344500,82657267;NA;NA;NA;NA
1980-07-01;1286635,13694159;1023648,75433898;NA;NA;NA;2310283,89128057;NA;NA;NA;NA
1980-08-01;1262044,72695742;1031778,43797275;NA;NA;NA;2293823,16493017;NA;NA;NA;NA
1980-09-01;1263729,38828031;1036307,87068294;NA;NA;NA;2300037,25896325;NA;NA;NA;NA
1980-10-01;1311900,22430933;1068208,4094664;NA;NA;NA;2380108,63377573;NA;NA;NA;NA
1980-11-01;1350135,3039055;1112777,08981983;NA;NA;NA;2462912,39372533;NA;NA;NA;NA
1980-12-01;1265456,1827358;1078142,92237324;NA;NA;NA;2343599,10510904;NA;NA;NA;NA
1981-01-01;1291296,58728396;1057887,07433954;NA;NA;NA;2349183,6616235;NA;NA;NA;NA
1981-02-01;1270426,22025187;1037860,14922171;NA;NA;NA;2308286,36947358;NA;NA;NA;NA
1981-03-01;1283121,50275483;979244,065196429;NA;NA;NA;2262365,56795126;NA;NA;NA;NA
1981-04-01;1179483,08377956;951064,556114911;NA;NA;NA;2130547,63989447;NA;NA;NA;NA
1981-05-01;1151169,77803035;856206,743209144;NA;NA;NA;2007376,52123949;NA;NA;NA;NA
