"data";"ano";"mes";"indice_bruto_base_100";"indice_dessazonalizado_base_100"
"01/01/2002";2002;1;96,26855;98,82145
"01/02/2002";2002;2;93,69049;102,99746
"01/03/2002";2002;3;101,20347;99,48377
"01/04/2002";2002;4;97,06768;99,52972
"01/05/2002";2002;5;103,52002;101,13043
"01/06/2002";2002;6;101,26895;102,2147
"01/07/2002";2002;7;106,14154;103,65867
"01/08/2002";2002;8;108,07625;104,10095
"01/09/2002";2002;9;105,42951;104,63493
"01/10/2002";2002;10;112,1234;106,93352
"01/11/2002";2002;11;107,40765;107,13878
"01/12/2002";2002;12;107,50771;109,62442
"01/01/2003";2003;1;106,80917;109,84025
"01/02/2003";2003;2;99,61543;109,24138
"01/03/2003";2003;3;113,42281;111,59049
"01/04/2003";2003;4;108,39632;110,22826
"01/05/2003";2003;5;112,18101;109,84339
"01/06/2003";2003;6;107,73016;109,32987
"01/07/2003";2003;7;111,07299;108,44351
"01/08/2003";2003;8;112,32886;108,52357
"01/09/2003";2003;9;111,0347;109,23281
"01/10/2003";2003;10;111,76173;107,07695
"01/11/2003";2003;11;110,50236;110,53485
"01/12/2003";2003;12;108,76751;110,19598
"01/01/2004";2004;1;106,73845;109,38648
"01/02/2004";2004;2;105,42162;112,54206
"01/03/2004";2004;3;114,30283;111,75473
"01/04/2004";2004;4;110,53305;113,6432
"01/05/2004";2004;5;117,26313;115,09679
"01/06/2004";2004;6;114,64271;114,92096
"01/07/2004";2004;7;115,98007;113,64697
"01/08/2004";2004;8;118,53817;114,44333
"01/09/2004";2004;9;115,668;113,60218
"01/10/2004";2004;10;117,69208;113,13711
"01/11/2004";2004;11;112,17176;111,99529
"01/12/2004";2004;12;108,76601;111,44066
"01/01/2005";2005;1;107,16626;109,50297
"01/02/2005";2005;2;104,69177;115,42136
"01/03/2005";2005;3;113,59436;111,43863
"01/04/2005";2005;4;110,94294;113,34668
"01/05/2005";2005;5;109,80456;107,92795
"01/06/2005";2005;6;108,42711;109,16861
"01/07/2005";2005;7;108,13696;105,60462
"01/08/2005";2005;8;115,15723;109,68225
"01/09/2005";2005;9;114,14581;112,88579
"01/10/2005";2005;10;115,9241;110,86654
"01/11/2005";2005;11;112,04833;111,27184
"01/12/2005";2005;12;111,04142;114,35377
"01/01/2006";2006;1;110,21269;112,67823
"01/02/2006";2006;2;98,64614;109,7648
"01/03/2006";2006;3;111,35463;109,96601
"01/04/2006";2006;4;109,55911;112,14971
"01/05/2006";2006;5;116,01694;113,32422
"01/06/2006";2006;6;111,78613;113,31227
"01/07/2006";2006;7;119,37142;115,95288
"01/08/2006";2006;8;121,59694;115,87512
"01/09/2006";2006;9;118,71119;116,72151
"01/10/2006";2006;10;122,15356;117,15712
"01/11/2006";2006;11;116,16265;115,69857
"01/12/2006";2006;12;113,309;117,64481
