"Competencia";"is_total";"UF";"cnae_subclasse";"Salario_Mensal"
"Dez/2019";FALSE;"11 - Rondônia";"2451";1879
"Dez/2019";FALSE;"11 - Rondônia";"2452";0
"Dez/2019";FALSE;"13 - Amazonas";"2451";0
"Dez/2019";FALSE;"13 - Amazonas";"2452";4084
"Dez/2019";FALSE;"15 - Para";"2451";2318
"Dez/2019";FALSE;"15 - Para";"2452";0
"Dez/2019";FALSE;"22 - Piaui";"2451";998
"Dez/2019";FALSE;"22 - Piaui";"2452";0
"Dez/2019";FALSE;"23 - Ceará";"2451";10219
"Dez/2019";FALSE;"23 - Ceará";"2452";2048
"Dez/2019";FALSE;"25 - Paraíba";"2451";3207
"Dez/2019";FALSE;"25 - Paraíba";"2452";0
"Dez/2019";FALSE;"26 - Pernambuco";"2451";5565
"Dez/2019";FALSE;"26 - Pernambuco";"2452";0
"Dez/2019";FALSE;"27 - Alagoas";"2451";0
"Dez/2019";FALSE;"27 - Alagoas";"2452";1087
"Dez/2019";FALSE;"28 - Sergipe";"2451";0
"Dez/2019";FALSE;"28 - Sergipe";"2452";5482
"Dez/2019";FALSE;"29 - Bahia";"2451";2044
"Dez/2019";FALSE;"29 - Bahia";"2452";0
"Dez/2019";FALSE;"31 - Minas Gerais";"2451";493890
"Dez/2019";FALSE;"31 - Minas Gerais";"2452";136033
"Dez/2019";FALSE;"32 - Espírito Santo";"2451";2800
"Dez/2019";FALSE;"32 - Espírito Santo";"2452";3942
"Dez/2019";FALSE;"33 - Rio de Janeiro";"2451";4186
"Dez/2019";FALSE;"33 - Rio de Janeiro";"2452";18990
"Dez/2019";FALSE;"35 - São Paulo";"2451";502766
"Dez/2019";FALSE;"35 - São Paulo";"2452";297461
"Dez/2019";FALSE;"41 - Paraná";"2451";40618
"Dez/2019";FALSE;"41 - Paraná";"2452";135081
"Dez/2019";FALSE;"42 - Santa Catarina";"2451";574347
"Dez/2019";FALSE;"42 - Santa Catarina";"2452";76468
"Dez/2019";FALSE;"43 - Rio Grande do Sul";"2451";215166
"Dez/2019";FALSE;"43 - Rio Grande do Sul";"2452";23614
"Dez/2019";FALSE;"50 - Mato Grosso do Sul";"2451";9081
"Dez/2019";FALSE;"50 - Mato Grosso do Sul";"2452";0
"Dez/2019";FALSE;"51 - Mato Grosso";"2451";0
"Dez/2019";FALSE;"51 - Mato Grosso";"2452";1207
"Dez/2019";FALSE;"52 - Goiás";"2451";1800
"Dez/2019";FALSE;"52 - Goiás";"2452";6199
"Nov/2019";FALSE;"13 - Amazonas";"2451";0
"Nov/2019";FALSE;"13 - Amazonas";"2452";17166
"Nov/2019";FALSE;"15 - Para";"2451";2160
"Nov/2019";FALSE;"15 - Para";"2452";1341
"Nov/2019";FALSE;"17 - Tocantins";"2451";0
"Nov/2019";FALSE;"17 - Tocantins";"2452";2600
"Nov/2019";FALSE;"21 - Maranhão";"2451";998
"Nov/2019";FALSE;"21 - Maranhão";"2452";0
"Nov/2019";FALSE;"23 - Ceará";"2451";9945
"Nov/2019";FALSE;"23 - Ceará";"2452";1050
"Nov/2019";FALSE;"24 - Rio Grande do Norte";"2451";3672
"Nov/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Nov/2019";FALSE;"25 - Paraíba";"2451";1020
"Nov/2019";FALSE;"25 - Paraíba";"2452";0
"Nov/2019";FALSE;"26 - Pernambuco";"2451";8384
"Nov/2019";FALSE;"26 - Pernambuco";"2452";0
"Nov/2019";FALSE;"27 - Alagoas";"2451";0
"Nov/2019";FALSE;"27 - Alagoas";"2452";4348
"Nov/2019";FALSE;"28 - Sergipe";"2451";0
"Nov/2019";FALSE;"28 - Sergipe";"2452";2124
"Nov/2019";FALSE;"29 - Bahia";"2451";8027
"Nov/2019";FALSE;"29 - Bahia";"2452";0
"Nov/2019";FALSE;"31 - Minas Gerais";"2451";588644
"Nov/2019";FALSE;"31 - Minas Gerais";"2452";139889
"Nov/2019";FALSE;"32 - Espírito Santo";"2451";5564
"Nov/2019";FALSE;"32 - Espírito Santo";"2452";8062
"Nov/2019";FALSE;"33 - Rio de Janeiro";"2451";11860
"Nov/2019";FALSE;"33 - Rio de Janeiro";"2452";24370
"Nov/2019";FALSE;"35 - São Paulo";"2451";480309
"Nov/2019";FALSE;"35 - São Paulo";"2452";567645
"Nov/2019";FALSE;"41 - Paraná";"2451";80036
"Nov/2019";FALSE;"41 - Paraná";"2452";302121
"Nov/2019";FALSE;"42 - Santa Catarina";"2451";778188
"Nov/2019";FALSE;"42 - Santa Catarina";"2452";141078
"Nov/2019";FALSE;"43 - Rio Grande do Sul";"2451";229107
"Nov/2019";FALSE;"43 - Rio Grande do Sul";"2452";40003
"Nov/2019";FALSE;"50 - Mato Grosso do Sul";"2451";4245
"Nov/2019";FALSE;"50 - Mato Grosso do Sul";"2452";3358
"Nov/2019";FALSE;"52 - Goiás";"2451";1800
"Nov/2019";FALSE;"52 - Goiás";"2452";3796
"Nov/2019";FALSE;"53 - Distrito Federal";"2451";0
"Nov/2019";FALSE;"53 - Distrito Federal";"2452";1165
"Out/2019";FALSE;"11 - Rondônia";"2451";2400
"Out/2019";FALSE;"11 - Rondônia";"2452";1095
"Out/2019";FALSE;"13 - Amazonas";"2451";0
"Out/2019";FALSE;"13 - Amazonas";"2452";57437
"Out/2019";FALSE;"15 - Para";"2451";998
"Out/2019";FALSE;"15 - Para";"2452";0
"Out/2019";FALSE;"21 - Maranhão";"2451";1497
"Out/2019";FALSE;"21 - Maranhão";"2452";4647
"Out/2019";FALSE;"22 - Piaui";"2451";998
"Out/2019";FALSE;"22 - Piaui";"2452";0
"Out/2019";FALSE;"23 - Ceará";"2451";19994
"Out/2019";FALSE;"23 - Ceará";"2452";998
"Out/2019";FALSE;"25 - Paraíba";"2451";4195
"Out/2019";FALSE;"25 - Paraíba";"2452";2156
"Out/2019";FALSE;"26 - Pernambuco";"2451";13099
"Out/2019";FALSE;"26 - Pernambuco";"2452";0
"Out/2019";FALSE;"27 - Alagoas";"2451";7284
"Out/2019";FALSE;"27 - Alagoas";"2452";6027
"Out/2019";FALSE;"28 - Sergipe";"2451";0
"Out/2019";FALSE;"28 - Sergipe";"2452";5939
"Out/2019";FALSE;"31 - Minas Gerais";"2451";924004
"Out/2019";FALSE;"31 - Minas Gerais";"2452";249076
"Out/2019";FALSE;"32 - Espírito Santo";"2451";9025
"Out/2019";FALSE;"32 - Espírito Santo";"2452";4247
"Out/2019";FALSE;"33 - Rio de Janeiro";"2451";6690
"Out/2019";FALSE;"33 - Rio de Janeiro";"2452";13310
"Out/2019";FALSE;"35 - São Paulo";"2451";506919
"Out/2019";FALSE;"35 - São Paulo";"2452";514927
"Out/2019";FALSE;"41 - Paraná";"2451";88818
"Out/2019";FALSE;"41 - Paraná";"2452";308939
"Out/2019";FALSE;"42 - Santa Catarina";"2451";896030
"Out/2019";FALSE;"42 - Santa Catarina";"2452";96374
"Out/2019";FALSE;"43 - Rio Grande do Sul";"2451";344733
"Out/2019";FALSE;"43 - Rio Grande do Sul";"2452";37646
"Out/2019";FALSE;"50 - Mato Grosso do Sul";"2451";2048
"Out/2019";FALSE;"50 - Mato Grosso do Sul";"2452";8194
"Out/2019";FALSE;"51 - Mato Grosso";"2451";5704
"Out/2019";FALSE;"51 - Mato Grosso";"2452";0
"Out/2019";FALSE;"52 - Goiás";"2451";10266
"Out/2019";FALSE;"52 - Goiás";"2452";9489
"Set/2019";FALSE;"11 - Rondônia";"2451";6661
"Set/2019";FALSE;"11 - Rondônia";"2452";21665
"Set/2019";FALSE;"13 - Amazonas";"2451";0
"Set/2019";FALSE;"13 - Amazonas";"2452";38545
"Set/2019";FALSE;"21 - Maranhão";"2451";2691
"Set/2019";FALSE;"21 - Maranhão";"2452";4232
"Set/2019";FALSE;"23 - Ceará";"2451";21360
"Set/2019";FALSE;"23 - Ceará";"2452";11313
"Set/2019";FALSE;"24 - Rio Grande do Norte";"2451";1489
"Set/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Set/2019";FALSE;"25 - Paraíba";"2451";1406
"Set/2019";FALSE;"25 - Paraíba";"2452";0
"Set/2019";FALSE;"26 - Pernambuco";"2451";26217
"Set/2019";FALSE;"26 - Pernambuco";"2452";0
"Set/2019";FALSE;"27 - Alagoas";"2451";3157
"Set/2019";FALSE;"27 - Alagoas";"2452";2766
"Set/2019";FALSE;"28 - Sergipe";"2451";0
"Set/2019";FALSE;"28 - Sergipe";"2452";1775
"Set/2019";FALSE;"29 - Bahia";"2451";2852
"Set/2019";FALSE;"29 - Bahia";"2452";0
"Set/2019";FALSE;"31 - Minas Gerais";"2451";990343
"Set/2019";FALSE;"31 - Minas Gerais";"2452";226348
"Set/2019";FALSE;"32 - Espírito Santo";"2451";8118
"Set/2019";FALSE;"32 - Espírito Santo";"2452";2419
