"Competencia";"is_total";"UF";"cnae_subclasse";"Saldo_Movimentacao"
"Dez/2019";FALSE;"11 - Rondônia";"2451";1
"Dez/2019";FALSE;"11 - Rondônia";"2452";0
"Dez/2019";FALSE;"13 - Amazonas";"2451";0
"Dez/2019";FALSE;"13 - Amazonas";"2452";-1
"Dez/2019";FALSE;"15 - Para";"2451";-1
"Dez/2019";FALSE;"15 - Para";"2452";0
"Dez/2019";FALSE;"22 - Piaui";"2451";1
"Dez/2019";FALSE;"22 - Piaui";"2452";0
"Dez/2019";FALSE;"23 - Ceará";"2451";-4
"Dez/2019";FALSE;"23 - Ceará";"2452";-2
"Dez/2019";FALSE;"25 - Paraíba";"2451";-3
"Dez/2019";FALSE;"25 - Paraíba";"2452";0
"Dez/2019";FALSE;"26 - Pernambuco";"2451";-2
"Dez/2019";FALSE;"26 - Pernambuco";"2452";0
"Dez/2019";FALSE;"27 - Alagoas";"2451";0
"Dez/2019";FALSE;"27 - Alagoas";"2452";1
"Dez/2019";FALSE;"28 - Sergipe";"2451";0
"Dez/2019";FALSE;"28 - Sergipe";"2452";-4
"Dez/2019";FALSE;"29 - Bahia";"2451";0
"Dez/2019";FALSE;"29 - Bahia";"2452";0
"Dez/2019";FALSE;"31 - Minas Gerais";"2451";-141
"Dez/2019";FALSE;"31 - Minas Gerais";"2452";6
"Dez/2019";FALSE;"32 - Espírito Santo";"2451";0
"Dez/2019";FALSE;"32 - Espírito Santo";"2452";-1
"Dez/2019";FALSE;"33 - Rio de Janeiro";"2451";-2
"Dez/2019";FALSE;"33 - Rio de Janeiro";"2452";-1
"Dez/2019";FALSE;"35 - São Paulo";"2451";-94
"Dez/2019";FALSE;"35 - São Paulo";"2452";-24
"Dez/2019";FALSE;"41 - Paraná";"2451";-17
"Dez/2019";FALSE;"41 - Paraná";"2452";-10
"Dez/2019";FALSE;"42 - Santa Catarina";"2451";-179
"Dez/2019";FALSE;"42 - Santa Catarina";"2452";-7
"Dez/2019";FALSE;"43 - Rio Grande do Sul";"2451";-97
"Dez/2019";FALSE;"43 - Rio Grande do Sul";"2452";-11
"Dez/2019";FALSE;"50 - Mato Grosso do Sul";"2451";-1
"Dez/2019";FALSE;"50 - Mato Grosso do Sul";"2452";0
"Dez/2019";FALSE;"51 - Mato Grosso";"2451";0
"Dez/2019";FALSE;"51 - Mato Grosso";"2452";-1
"Dez/2019";FALSE;"52 - Goiás";"2451";1
"Dez/2019";FALSE;"52 - Goiás";"2452";-3
"Nov/2019";FALSE;"13 - Amazonas";"2451";0
"Nov/2019";FALSE;"13 - Amazonas";"2452";-2
"Nov/2019";FALSE;"15 - Para";"2451";-1
"Nov/2019";FALSE;"15 - Para";"2452";1
"Nov/2019";FALSE;"17 - Tocantins";"2451";0
"Nov/2019";FALSE;"17 - Tocantins";"2452";0
"Nov/2019";FALSE;"21 - Maranhão";"2451";-1
"Nov/2019";FALSE;"21 - Maranhão";"2452";0
"Nov/2019";FALSE;"23 - Ceará";"2451";-1
"Nov/2019";FALSE;"23 - Ceará";"2452";1
"Nov/2019";FALSE;"24 - Rio Grande do Norte";"2451";1
"Nov/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Nov/2019";FALSE;"25 - Paraíba";"2451";-1
"Nov/2019";FALSE;"25 - Paraíba";"2452";0
"Nov/2019";FALSE;"26 - Pernambuco";"2451";5
"Nov/2019";FALSE;"26 - Pernambuco";"2452";0
"Nov/2019";FALSE;"27 - Alagoas";"2451";0
"Nov/2019";FALSE;"27 - Alagoas";"2452";2
"Nov/2019";FALSE;"28 - Sergipe";"2451";0
"Nov/2019";FALSE;"28 - Sergipe";"2452";-2
"Nov/2019";FALSE;"29 - Bahia";"2451";1
"Nov/2019";FALSE;"29 - Bahia";"2452";0
"Nov/2019";FALSE;"31 - Minas Gerais";"2451";-79
"Nov/2019";FALSE;"31 - Minas Gerais";"2452";6
"Nov/2019";FALSE;"32 - Espírito Santo";"2451";-3
"Nov/2019";FALSE;"32 - Espírito Santo";"2452";2
"Nov/2019";FALSE;"33 - Rio de Janeiro";"2451";-3
"Nov/2019";FALSE;"33 - Rio de Janeiro";"2452";-8
"Nov/2019";FALSE;"35 - São Paulo";"2451";-10
"Nov/2019";FALSE;"35 - São Paulo";"2452";-45
"Nov/2019";FALSE;"41 - Paraná";"2451";-10
"Nov/2019";FALSE;"41 - Paraná";"2452";-16
"Nov/2019";FALSE;"42 - Santa Catarina";"2451";-209
"Nov/2019";FALSE;"42 - Santa Catarina";"2452";-4
"Nov/2019";FALSE;"43 - Rio Grande do Sul";"2451";-34
"Nov/2019";FALSE;"43 - Rio Grande do Sul";"2452";-11
"Nov/2019";FALSE;"50 - Mato Grosso do Sul";"2451";-2
"Nov/2019";FALSE;"50 - Mato Grosso do Sul";"2452";2
"Nov/2019";FALSE;"52 - Goiás";"2451";1
"Nov/2019";FALSE;"52 - Goiás";"2452";1
"Nov/2019";FALSE;"53 - Distrito Federal";"2451";0
"Nov/2019";FALSE;"53 - Distrito Federal";"2452";1
"Out/2019";FALSE;"11 - Rondônia";"2451";0
"Out/2019";FALSE;"11 - Rondônia";"2452";-1
"Out/2019";FALSE;"13 - Amazonas";"2451";0
"Out/2019";FALSE;"13 - Amazonas";"2452";12
"Out/2019";FALSE;"15 - Para";"2451";-1
"Out/2019";FALSE;"15 - Para";"2452";0
"Out/2019";FALSE;"21 - Maranhão";"2451";-1
"Out/2019";FALSE;"21 - Maranhão";"2452";0
"Out/2019";FALSE;"22 - Piaui";"2451";-1
"Out/2019";FALSE;"22 - Piaui";"2452";0
"Out/2019";FALSE;"23 - Ceará";"2451";7
"Out/2019";FALSE;"23 - Ceará";"2452";-1
"Out/2019";FALSE;"25 - Paraíba";"2451";0
"Out/2019";FALSE;"25 - Paraíba";"2452";-2
"Out/2019";FALSE;"26 - Pernambuco";"2451";2
"Out/2019";FALSE;"26 - Pernambuco";"2452";0
"Out/2019";FALSE;"27 - Alagoas";"2451";-5
"Out/2019";FALSE;"27 - Alagoas";"2452";3
"Out/2019";FALSE;"28 - Sergipe";"2451";0
"Out/2019";FALSE;"28 - Sergipe";"2452";-1
"Out/2019";FALSE;"31 - Minas Gerais";"2451";66
"Out/2019";FALSE;"31 - Minas Gerais";"2452";21
"Out/2019";FALSE;"32 - Espírito Santo";"2451";-2
"Out/2019";FALSE;"32 - Espírito Santo";"2452";0
"Out/2019";FALSE;"33 - Rio de Janeiro";"2451";1
"Out/2019";FALSE;"33 - Rio de Janeiro";"2452";-2
"Out/2019";FALSE;"35 - São Paulo";"2451";-43
"Out/2019";FALSE;"35 - São Paulo";"2452";15
"Out/2019";FALSE;"41 - Paraná";"2451";-10
"Out/2019";FALSE;"41 - Paraná";"2452";12
"Out/2019";FALSE;"42 - Santa Catarina";"2451";-66
"Out/2019";FALSE;"42 - Santa Catarina";"2452";7
"Out/2019";FALSE;"43 - Rio Grande do Sul";"2451";-58
"Out/2019";FALSE;"43 - Rio Grande do Sul";"2452";-9
"Out/2019";FALSE;"50 - Mato Grosso do Sul";"2451";2
"Out/2019";FALSE;"50 - Mato Grosso do Sul";"2452";1
"Out/2019";FALSE;"51 - Mato Grosso";"2451";-5
"Out/2019";FALSE;"51 - Mato Grosso";"2452";0
"Out/2019";FALSE;"52 - Goiás";"2451";2
"Out/2019";FALSE;"52 - Goiás";"2452";-5
"Set/2019";FALSE;"11 - Rondônia";"2451";1
"Set/2019";FALSE;"11 - Rondônia";"2452";-2
"Set/2019";FALSE;"13 - Amazonas";"2451";0
"Set/2019";FALSE;"13 - Amazonas";"2452";9
"Set/2019";FALSE;"21 - Maranhão";"2451";0
"Set/2019";FALSE;"21 - Maranhão";"2452";2
"Set/2019";FALSE;"23 - Ceará";"2451";4
"Set/2019";FALSE;"23 - Ceará";"2452";-7
"Set/2019";FALSE;"24 - Rio Grande do Norte";"2451";-1
"Set/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Set/2019";FALSE;"25 - Paraíba";"2451";-1
"Set/2019";FALSE;"25 - Paraíba";"2452";0
"Set/2019";FALSE;"26 - Pernambuco";"2451";2
"Set/2019";FALSE;"26 - Pernambuco";"2452";0
"Set/2019";FALSE;"27 - Alagoas";"2451";-2
"Set/2019";FALSE;"27 - Alagoas";"2452";2
"Set/2019";FALSE;"28 - Sergipe";"2451";0
"Set/2019";FALSE;"28 - Sergipe";"2452";-1
"Set/2019";FALSE;"29 - Bahia";"2451";-2
"Set/2019";FALSE;"29 - Bahia";"2452";0
"Set/2019";FALSE;"31 - Minas Gerais";"2451";-162
"Set/2019";FALSE;"31 - Minas Gerais";"2452";-14
"Set/2019";FALSE;"32 - Espírito Santo";"2451";-3
"Set/2019";FALSE;"32 - Espírito Santo";"2452";-2
"Set/2019";FALSE;"33 - Rio de Janeiro";"2451";-1
"Set/2019";FALSE;"33 - Rio de Janeiro";"2452";2
"Set/2019";FALSE;"35 - São Paulo";"2451";11
"Set/2019";FALSE;"35 - São Paulo";"2452";4
"Set/2019";FALSE;"41 - Paraná";"2451";-23
"Set/2019";FALSE;"41 - Paraná";"2452";-37
"Set/2019";FALSE;"42 - Santa Catarina";"2451";-100
"Set/2019";FALSE;"42 - Santa Catarina";"2452";6
"Set/2019";FALSE;"43 - Rio Grande do Sul";"2451";-62
"Set/2019";FALSE;"43 - Rio Grande do Sul";"2452";4
"Set/2019";FALSE;"50 - Mato Grosso do Sul";"2451";0
"Set/2019";FALSE;"50 - Mato Grosso do Sul";"2452";-1
"Set/2019";FALSE;"51 - Mato Grosso";"2451";1
"Set/2019";FALSE;"51 - Mato Grosso";"2452";0
"Set/2019";FALSE;"52 - Goiás";"2451";1
"Set/2019";FALSE;"52 - Goiás";"2452";2
"Ago/2019";FALSE;"11 - Rondônia";"2451";0
"Ago/2019";FALSE;"11 - Rondônia";"2452";0
"Ago/2019";FALSE;"13 - Amazonas";"2451";0
"Ago/2019";FALSE;"13 - Amazonas";"2452";6
"Ago/2019";FALSE;"15 - Para";"2451";-3
"Ago/2019";FALSE;"15 - Para";"2452";0
"Ago/2019";FALSE;"21 - Maranhão";"2451";1
"Ago/2019";FALSE;"21 - Maranhão";"2452";-2
"Ago/2019";FALSE;"23 - Ceará";"2451";14
"Ago/2019";FALSE;"23 - Ceará";"2452";-3
"Ago/2019";FALSE;"25 - Paraíba";"2451";-1
"Ago/2019";FALSE;"25 - Paraíba";"2452";0
"Ago/2019";FALSE;"26 - Pernambuco";"2451";0
"Ago/2019";FALSE;"26 - Pernambuco";"2452";0
