"Competencia";"is_total";"Tipo_Movimentacao";"cnae_subclasse";"Quantidade"
"Dez/2019";FALSE;"Admissão por primeiro emprego";"2451";36
"Dez/2019";FALSE;"Admissão por primeiro emprego";"2452";10
"Dez/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";252
"Dez/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";135
"Dez/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";662
"Dez/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";169
"Dez/2019";FALSE;"Desligamento por demissão com justa causa";"2451";12
"Dez/2019";FALSE;"Desligamento por demissão com justa causa";"2452";5
"Dez/2019";FALSE;"Desligamento a pedido";"2451";136
"Dez/2019";FALSE;"Desligamento a pedido";"2452";28
"Dez/2019";FALSE;"Desligamento por aposentadoria";"2451";1
"Dez/2019";FALSE;"Desligamento por aposentadoria";"2452";0
"Dez/2019";FALSE;"Desligamento por morte";"2451";5
"Dez/2019";FALSE;"Desligamento por morte";"2452";0
"Dez/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";10
"Dez/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";1
"Nov/2019";FALSE;"Admissão por primeiro emprego";"2451";26
"Nov/2019";FALSE;"Admissão por primeiro emprego";"2452";9
"Nov/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";380
"Nov/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";232
"Nov/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";514
"Nov/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";260
"Nov/2019";FALSE;"Desligamento por demissão com justa causa";"2451";30
"Nov/2019";FALSE;"Desligamento por demissão com justa causa";"2452";1
"Nov/2019";FALSE;"Desligamento a pedido";"2451";185
"Nov/2019";FALSE;"Desligamento a pedido";"2452";51
"Nov/2019";FALSE;"Desligamento por morte";"2451";4
"Nov/2019";FALSE;"Desligamento por morte";"2452";1
"Nov/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";19
"Nov/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";0
"Out/2019";FALSE;"Admissão por primeiro emprego";"2451";104
"Out/2019";FALSE;"Admissão por primeiro emprego";"2452";25
"Out/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";538
