DATA;ANO;MES;UF;CNAE_DIVISAO;CNAE_DIVISAO_DESCRICAO;FATOR_CARGA_ASSUMIDO;CONSUMO_MWH;CUSTO_TOTAL_RS_MWH_BAIXO;CUSTO_TOTAL_RS_MWH_MEDIO;CUSTO_TOTAL_RS_MWH_ALTO;GASTO_ESTIMADO_RS_BAIXO;GASTO_ESTIMADO_RS_MEDIO;GASTO_ESTIMADO_RS_ALTO;PARTICIPACAO_PCT_SETOR
20120101;2012;1;BR;10;Fabricação de produtos alimentícios;0.65;1474687.975;252.5;244.78;241.35;372358713.69;360974122.52;355915942.77;11.5366
20120101;2012;1;BR;11;Fabricação de bebidas;0.55;258017.0;258.74;247.49;242.87;66759318.58;63856627.33;62664588.79;2.0185
20120101;2012;1;BR;12;Fabricação de produtos do fumo;0.55;16273.0;270.68;258.38;253.33;4404775.64;4204617.74;4122439.09;0.1273
20120101;2012;1;BR;13;Fabricação de produtos têxteis;0.55;464899.0;258.33;247.21;242.64;120097358.67;114927681.79;112803093.36;3.637
20120101;2012;1;BR;14;Confecção de artigos do vestuário e acessórios;0.4;59084.347;267.19;254.1;246.24;15786746.67;15013332.57;14548929.61;0.4622
20120101;2012;1;BR;15;Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados;0.45;100487.166;279.0;259.87;252.91;28035919.31;26113599.83;25414209.15;0.7861
20120101;2012;1;BR;16;Fabricação de produtos de madeira;0.55;238518.385;259.61;248.21;243.53;61921757.93;59202648.34;58086382.3;1.866
20120101;2012;1;BR;17;Fabricação de celulose, papel e produtos de papel;0.85;662221.345;236.34;232.41;231.01;156509392.68;153906862.79;152979752.91;5.1806
20120101;2012;1;BR;18;Impressão e reprodução de gravações;0.45;60190.893;258.11;241.9;236.0;15535871.39;14560177.02;14205050.75;0.4709
20120101;2012;1;BR;19;Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis;0.85;276553.272;240.06;235.98;234.53;66389378.48;65261041.13;64860038.88;2.1635
20120101;2012;1;BR;20;Fabricação de produtos químicos;0.8;1449398.0;240.49;235.88;233.66;348565725.02;341884000.24;338666336.68;11.3388
20120101;2012;1;BR;21;Fabricação de produtos farmoquímicos e farmacêuticos;0.6;85603.0;243.83;235.58;232.04;20872579.49;20166354.74;19863320.12;0.6697
20120101;2012;1;BR;22;Fabricação de produtos de borracha e de material plástico;0.6;657425.0;247.95;239.37;235.68;163008528.75;157367822.25;154941924.0;5.1431
20120101;2012;1;BR;23;Fabricação de produtos de minerais não metálicos;0.85;1067801.719;241.39;237.22;235.74;257756656.95;253303923.78;251723577.24;8.3535
20120101;2012;1;BR;24;Metalurgia;0.85;4303301.851;243.31;238.89;237.32;1047036373.37;1028015779.19;1021259595.28;33.6652
20120101;2012;1;BR;25;Fabricação de produtos de metal, exceto máquinas e equipamentos;0.55;392048.513;249.41;239.14;234.93;97780819.63;93754481.4;92103957.16;3.067
20120101;2012;1;BR;26;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;0.55;40684.0;236.67;227.63;223.92;9628682.28;9260898.92;9109961.28;0.3183
20120101;2012;1;BR;27;Fabricação de máquinas, aparelhos e materiais elétricos;0.55;157004.0;244.78;234.96;230.94;38431439.12;36889659.84;36258503.76;1.2283
20120101;2012;1;BR;28;Fabricação de máquinas e equipamentos;0.5;170592.793;258.05;244.77;239.61;44021470.23;41755997.94;40875739.13;1.3346
20120101;2012;1;BR;29;Fabricação de veículos automotores, reboques e carrocerias;0.6;542401.0;242.61;234.46;230.96;131591906.61;127171338.46;125272934.96;4.2433
20120101;2012;1;BR;30;Fabricação de outros equipamentos de transporte, exceto veículos automotores;0.55;40383.0;246.18;236.21;232.12;9941486.94;9538868.43;9373701.96;0.3159
20120101;2012;1;BR;31;Fabricação de móveis;0.45;84214.15;274.43;255.9;249.17;23110889.18;21550400.98;20983639.76;0.6588
20120101;2012;1;BR;32;Fabricação de produtos diversos;0.45;157986.0;268.45;250.81;244.4;42411341.7;39624468.66;38611778.4;1.2359
20120101;2012;1;BR;33;Manutenção, reparação e instalação de máquinas e equipamentos;0.4;22877.0;243.03;232.47;226.14;5559797.31;5318216.19;5173404.78;0.179
20120101;2012;1;SP;10;Fabricação de produtos alimentícios;0.65;381215.0;223.36;217.71;215.2;85149383.49;82994655.08;82036998.01;9.0491
20120101;2012;1;SP;11;Fabricação de bebidas;0.55;79568.0;229.49;221.14;217.71;18259776.93;17595389.08;17322819.71;1.8888
20120101;2012;1;SP;12;Fabricação de produtos do fumo;0.55;436.0;229.49;221.14;217.71;100056.09;96415.51;94921.95;0.0103
20120101;2012;1;SP;13;Fabricação de produtos têxteis;0.55;148080.0;229.49;221.14;217.71;33982351.79;32745893.01;32238627.87;3.5151
20120101;2012;1;SP;14;Confecção de artigos do vestuário e acessórios;0.4;24728.0;239.69;229.49;223.36;5927101.74;5674740.65;5523323.99;0.587
20120101;2012;1;SP;15;Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados;0.45;17007.0;239.69;226.08;221.14;4076440.45;3845020.99;3760868.47;0.4037
20120101;2012;1;SP;16;Fabricação de produtos de madeira;0.55;68577.0;229.49;221.14;217.71;15737491.48;15164877.8;14929959.37;1.6279
20120101;2012;1;SP;17;Fabricação de celulose, papel e produtos de papel;0.85;293543.0;216.37;213.28;212.18;63512462.79;62606186.37;62284392.57;6.968
20120101;2012;1;SP;18;Impressão e reprodução de gravações;0.45;36765.0;239.69;226.08;221.14;8812273.36;8312000.76;8130083.45;0.8727
20120101;2012;1;SP;19;Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis;0.85;94218.0;216.37;213.28;212.18;20385487.71;20094601.7;19991316.09;2.2365
20120101;2012;1;SP;20;Fabricação de produtos químicos;0.8;546920.0;217.71;214.18;212.48;119070437.3;117138351.63;116208088.16;12.9826
20120101;2012;1;SP;21;Fabricação de produtos farmoquímicos e farmacêuticos;0.6;48255.0;226.08;219.28;216.37;10909712.95;10581402.67;10440698.27;1.1455
20120101;2012;1;SP;22;Fabricação de produtos de borracha e de material plástico;0.6;303834.0;226.08;219.28;216.37;68692191.96;66625010.87;65739076.11;7.2123
20120101;2012;1;SP;23;Fabricação de produtos de minerais não metálicos;0.85;320175.0;216.37;213.28;212.18;69274698.34;68286199.03;67935210.14;7.6002
20120101;2012;1;SP;24;Metalurgia;0.85;978074.0;216.37;213.28;212.18;211621086.28;208601408.06;207529203.48;23.2171
20120101;2012;1;SP;25;Fabricação de produtos de metal, exceto máquinas e equipamentos;0.55;207508.0;229.49;221.14;217.71;47620271.85;45887592.97;45176750.35;4.9257
20120101;2012;1;SP;26;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;0.55;33773.0;229.49;221.14;217.71;7750445.48;7468443.04;7352749.72;0.8017
20120101;2012;1;SP;27;Fabricação de máquinas, aparelhos e materiais elétricos;0.55;100245.0;229.49;221.14;217.71;23004868.01;22167828.5;21824427.68;2.3796
20120101;2012;1;SP;28;Fabricação de máquinas e equipamentos;0.5;77759.0;233.86;223.36;219.28;18184736.48;17368495.23;17051068.08;1.8458
20120101;2012;1;SP;29;Fabricação de veículos automotores, reboques e carrocerias;0.6;322002.0;226.08;219.28;216.37;72799697.19;70608907.33;69669997.39;7.6436
20120101;2012;1;SP;30;Fabricação de outros equipamentos de transporte, exceto veículos automotores;0.55;24449.0;229.49;221.14;217.71;5610713.93;5406566.3;5322813.43;0.5804
20120101;2012;1;SP;31;Fabricação de móveis;0.45;22423.0;239.69;226.08;221.14;5374611.87;5069495.25;4958543.75;0.5323
20120101;2012;1;SP;32;Fabricação de produtos diversos;0.45;61916.0;239.69;226.08;221.14;14840764.78;13998254.83;13691887.57;1.4697
20120101;2012;1;SP;33;Manutenção, reparação e instalação de máquinas e equipamentos;0.4;21257.0;239.69;229.49;223.36;5095131.1;4878193.22;4748030.49;0.5046
20120201;2012;2;BR;10;Fabricação de produtos alimentícios;0.65;1530191.97;256.47;248.81;245.41;392448334.55;380727064.06;375524411.36;11.5833
20120201;2012;2;BR;11;Fabricação de bebidas;0.55;238150.0;263.03;251.85;247.26;62640594.5;59978077.5;58884969.0;1.8027
20120201;2012;2;BR;12;Fabricação de produtos do fumo;0.55;18198.0;274.14;261.75;256.67;4988799.72;4763326.5;4670880.66;0.1378
20120201;2012;2;BR;13;Fabricação de produtos têxteis;0.55;571735.0;261.33;250.45;245.98;149411507.55;143191030.75;140635375.3;4.3279
20120201;2012;2;BR;14;Confecção de artigos do vestuário e acessórios;0.4;66812.013;276.43;262.91;254.8;18468844.75;17565546.34;17023700.91;0.5058
20120201;2012;2;BR;15;Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados;0.45;125027.946;282.61;263.53;256.59;35334147.82;32948614.61;32080920.66;0.9464
20120201;2012;2;BR;16;Fabricação de produtos de madeira;0.55;256358.468;264.6;253.17;248.48;67832450.63;64902273.34;63699952.13;1.9406
20120201;2012;2;BR;17;Fabricação de celulose, papel e produtos de papel;0.85;645251.816;240.98;237.12;235.75;155492782.62;153002110.61;152118115.62;4.8844
20120201;2012;2;BR;18;Impressão e reprodução de gravações;0.45;63907.214;262.47;246.76;241.04;16773726.46;15769744.13;15404194.86;0.4838
