"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2021;"Total";12444;TRUE;"2006-2021";"2452"
2021;"Analfabeto";32;FALSE;"2006-2021";"2452"
2021;"Até 5ª Incompleto";309;FALSE;"2006-2021";"2452"
2021;"5ª Completo Fundamental";337;FALSE;"2006-2021";"2452"
2021;"6ª a 9ª Fundamental";761;FALSE;"2006-2021";"2452"
2021;"Fundamental Completo";1406;FALSE;"2006-2021";"2452"
2021;"Médio Incompleto";897;FALSE;"2006-2021";"2452"
2021;"Médio Completo";7413;FALSE;"2006-2021";"2452"
2021;"Superior Incompleto";308;FALSE;"2006-2021";"2452"
2021;"Superior Completo";981;FALSE;"2006-2021";"2452"
2020;"Total";11238;TRUE;"2006-2021";"2452"
2020;"Analfabeto";32;FALSE;"2006-2021";"2452"
2020;"Até 5ª Incompleto";318;FALSE;"2006-2021";"2452"
2020;"5ª Completo Fundamental";374;FALSE;"2006-2021";"2452"
2020;"6ª a 9ª Fundamental";763;FALSE;"2006-2021";"2452"
2020;"Fundamental Completo";1381;FALSE;"2006-2021";"2452"
2020;"Médio Incompleto";885;FALSE;"2006-2021";"2452"
2020;"Médio Completo";6264;FALSE;"2006-2021";"2452"
2020;"Superior Incompleto";312;FALSE;"2006-2021";"2452"
2020;"Superior Completo";909;FALSE;"2006-2021";"2452"
2019;"Total";11331;TRUE;"2006-2021";"2452"
2019;"Analfabeto";36;FALSE;"2006-2021";"2452"
2019;"Até 5ª Incompleto";328;FALSE;"2006-2021";"2452"
2019;"5ª Completo Fundamental";334;FALSE;"2006-2021";"2452"
2019;"6ª a 9ª Fundamental";741;FALSE;"2006-2021";"2452"
2019;"Fundamental Completo";1474;FALSE;"2006-2021";"2452"
2019;"Médio Incompleto";910;FALSE;"2006-2021";"2452"
2019;"Médio Completo";6255;FALSE;"2006-2021";"2452"
2019;"Superior Incompleto";305;FALSE;"2006-2021";"2452"
2019;"Superior Completo";948;FALSE;"2006-2021";"2452"
2018;"Total";12941;TRUE;"2006-2021";"2452"
2018;"Analfabeto";26;FALSE;"2006-2021";"2452"
2018;"Até 5ª Incompleto";348;FALSE;"2006-2021";"2452"
2018;"5ª Completo Fundamental";331;FALSE;"2006-2021";"2452"
2018;"6ª a 9ª Fundamental";809;FALSE;"2006-2021";"2452"
2018;"Fundamental Completo";1651;FALSE;"2006-2021";"2452"
2018;"Médio Incompleto";928;FALSE;"2006-2021";"2452"
2018;"Médio Completo";7409;FALSE;"2006-2021";"2452"
2018;"Superior Incompleto";316;FALSE;"2006-2021";"2452"
2018;"Superior Completo";1123;FALSE;"2006-2021";"2452"
2017;"Total";12730;TRUE;"2006-2021";"2452"
2017;"Analfabeto";33;FALSE;"2006-2021";"2452"
2017;"Até 5ª Incompleto";347;FALSE;"2006-2021";"2452"
2017;"5ª Completo Fundamental";376;FALSE;"2006-2021";"2452"
2017;"6ª a 9ª Fundamental";945;FALSE;"2006-2021";"2452"
2017;"Fundamental Completo";1682;FALSE;"2006-2021";"2452"
2017;"Médio Incompleto";985;FALSE;"2006-2021";"2452"
2017;"Médio Completo";6990;FALSE;"2006-2021";"2452"
2017;"Superior Incompleto";362;FALSE;"2006-2021";"2452"
2017;"Superior Completo";1010;FALSE;"2006-2021";"2452"
2016;"Total";13031;TRUE;"2006-2021";"2452"
2016;"Analfabeto";59;FALSE;"2006-2021";"2452"
2016;"Até 5ª Incompleto";348;FALSE;"2006-2021";"2452"
2016;"5ª Completo Fundamental";416;FALSE;"2006-2021";"2452"
2016;"6ª a 9ª Fundamental";944;FALSE;"2006-2021";"2452"
2016;"Fundamental Completo";1749;FALSE;"2006-2021";"2452"
2016;"Médio Incompleto";1013;FALSE;"2006-2021";"2452"
2016;"Médio Completo";7210;FALSE;"2006-2021";"2452"
2016;"Superior Incompleto";362;FALSE;"2006-2021";"2452"
2016;"Superior Completo";930;FALSE;"2006-2021";"2452"
2015;"Total";13792;TRUE;"2006-2021";"2452"
2015;"Analfabeto";41;FALSE;"2006-2021";"2452"
2015;"Até 5ª Incompleto";387;FALSE;"2006-2021";"2452"
2015;"5ª Completo Fundamental";544;FALSE;"2006-2021";"2452"
2015;"6ª a 9ª Fundamental";1027;FALSE;"2006-2021";"2452"
2015;"Fundamental Completo";1906;FALSE;"2006-2021";"2452"
2015;"Médio Incompleto";1123;FALSE;"2006-2021";"2452"
2015;"Médio Completo";7521;FALSE;"2006-2021";"2452"
2015;"Superior Incompleto";355;FALSE;"2006-2021";"2452"
2015;"Superior Completo";888;FALSE;"2006-2021";"2452"
2014;"Total";15998;TRUE;"2006-2021";"2452"
2014;"Analfabeto";44;FALSE;"2006-2021";"2452"
2014;"Até 5ª Incompleto";473;FALSE;"2006-2021";"2452"
2014;"5ª Completo Fundamental";669;FALSE;"2006-2021";"2452"
2014;"6ª a 9ª Fundamental";1259;FALSE;"2006-2021";"2452"
2014;"Fundamental Completo";2273;FALSE;"2006-2021";"2452"
2014;"Médio Incompleto";1335;FALSE;"2006-2021";"2452"
2014;"Médio Completo";8613;FALSE;"2006-2021";"2452"
2014;"Superior Incompleto";422;FALSE;"2006-2021";"2452"
2014;"Superior Completo";910;FALSE;"2006-2021";"2452"
2013;"Total";18538;TRUE;"2006-2021";"2452"
2013;"Analfabeto";40;FALSE;"2006-2021";"2452"
2013;"Até 5ª Incompleto";525;FALSE;"2006-2021";"2452"
2013;"5ª Completo Fundamental";789;FALSE;"2006-2021";"2452"
2013;"6ª a 9ª Fundamental";1484;FALSE;"2006-2021";"2452"
2013;"Fundamental Completo";2661;FALSE;"2006-2021";"2452"
2013;"Médio Incompleto";1741;FALSE;"2006-2021";"2452"
2013;"Médio Completo";9766;FALSE;"2006-2021";"2452"
2013;"Superior Incompleto";514;FALSE;"2006-2021";"2452"
2013;"Superior Completo";1018;FALSE;"2006-2021";"2452"
2012;"Total";19619;TRUE;"2006-2021";"2452"
2012;"Analfabeto";34;FALSE;"2006-2021";"2452"
2012;"Até 5ª Incompleto";476;FALSE;"2006-2021";"2452"
2012;"5ª Completo Fundamental";797;FALSE;"2006-2021";"2452"
2012;"6ª a 9ª Fundamental";1602;FALSE;"2006-2021";"2452"
2012;"Fundamental Completo";3236;FALSE;"2006-2021";"2452"
2012;"Médio Incompleto";1763;FALSE;"2006-2021";"2452"
2012;"Médio Completo";10225;FALSE;"2006-2021";"2452"
2012;"Superior Incompleto";494;FALSE;"2006-2021";"2452"
2012;"Superior Completo";992;FALSE;"2006-2021";"2452"
2011;"Total";21538;TRUE;"2006-2021";"2452"
2011;"Analfabeto";28;FALSE;"2006-2021";"2452"
2011;"Até 5ª Incompleto";499;FALSE;"2006-2021";"2452"
2011;"5ª Completo Fundamental";852;FALSE;"2006-2021";"2452"
2011;"6ª a 9ª Fundamental";1773;FALSE;"2006-2021";"2452"
2011;"Fundamental Completo";3677;FALSE;"2006-2021";"2452"
2011;"Médio Incompleto";1891;FALSE;"2006-2021";"2452"
2011;"Médio Completo";11126;FALSE;"2006-2021";"2452"
2011;"Superior Incompleto";573;FALSE;"2006-2021";"2452"
2011;"Superior Completo";1119;FALSE;"2006-2021";"2452"
2010;"Total";19555;TRUE;"2006-2021";"2452"
2010;"Analfabeto";35;FALSE;"2006-2021";"2452"
2010;"Até 5ª Incompleto";539;FALSE;"2006-2021";"2452"
2010;"5ª Completo Fundamental";890;FALSE;"2006-2021";"2452"
2010;"6ª a 9ª Fundamental";1882;FALSE;"2006-2021";"2452"
2010;"Fundamental Completo";3763;FALSE;"2006-2021";"2452"
2010;"Médio Incompleto";1840;FALSE;"2006-2021";"2452"
2010;"Médio Completo";9052;FALSE;"2006-2021";"2452"
2010;"Superior Incompleto";546;FALSE;"2006-2021";"2452"
2010;"Superior Completo";1008;FALSE;"2006-2021";"2452"
2009;"Total";17309;TRUE;"2006-2021";"2452"
