"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2021;"Total";46364;TRUE;"2006-2021";"2451"
2021;"GESTORES PUBLICOS";3;FALSE;"2006-2021";"2451"
2021;"DIRETORES GERAIS";13;FALSE;"2006-2021";"2451"
2021;"DIRETORES DE PRODUCAO E OPERACOES EM EMPRESA DA INDUSTRIA EXTRATIVA, TRANSFORMACAO E DE SERVICOS DE UTILIDADE PUBLICA";9;FALSE;"2006-2021";"2451"
2021;"DIRETORES ADMINISTRATIVOS E FINANCEIROS";19;FALSE;"2006-2021";"2451"
2021;"DIRETORES DE RH E RELACOES DE TRABALHO";1;FALSE;"2006-2021";"2451"
2021;"DIRETORES DE MARKETING, COMERCIALIZACAO E VENDAS";9;FALSE;"2006-2021";"2451"
2021;"DIRETORES DE SUPRIMENTOS E AFINS";1;FALSE;"2006-2021";"2451"
2021;"DIRETORES DE PESQUISA E DESENVOLVIMENTO";2;FALSE;"2006-2021";"2451"
2021;"DIRETORES E GERENTES DE SERVICOS PESSOAIS, SOCIAIS E CULTURAIS";1;FALSE;"2006-2021";"2451"
2021;"DIRETORES E GERENTES DE OPERACOES EM EMPRESA DE SERVICOS DE SAUDE";5;FALSE;"2006-2021";"2451"
2021;"GERENTES DE PRODUCAO E OPERACOES EM EMPRESA DA INDUSTRIA EXTRATIVA, DE TRANSFORMACAO E DE SERVICOS DE UTILIDADE PUBLICA";191;FALSE;"2006-2021";"2451"
2021;"GERENTES DE OPERACOES COMERCIAIS E DE REPARACAO";1;FALSE;"2006-2021";"2451"
2021;"GERENTES DE OPERACOES DE TURISMO, ALOJAMENTO E ALIMENTACAO";1;FALSE;"2006-2021";"2451"
2021;"GERENTES DE OPERACOES DE SERVICOS EM EMPRESA DE TRANSPORTE, DE COMUNICACAO E DE LOGISTICA (ARMAZENAGEM E DISTRIBUICAO)";17;FALSE;"2006-2021";"2451"
2021;"GERENTES DE OPERACOES DE SERVICOS EM INSTITUICAO DE INTERMEDIACAO FINANCEIRA";0;FALSE;"2006-2021";"2451"
2021;"GERENTES ADMINISTRATIVOS, FINANCEIROS E DE RISCOS";97;FALSE;"2006-2021";"2451"
2021;"GERENTES DE RH E RELACOES DO TRABALHO";54;FALSE;"2006-2021";"2451"
2021;"GERENTES DE MARKETING, COMERCIALIZACAO E VENDAS";78;FALSE;"2006-2021";"2451"
2021;"GERENTES DE SUPRIMENTOS E AFINS";26;FALSE;"2006-2021";"2451"
2021;"GERENTES DE TECNOLOGIA DA INFORMACAO";14;FALSE;"2006-2021";"2451"
2021;"GERENTES DE PESQUISA E DESENVOLVIMENTO";28;FALSE;"2006-2021";"2451"
2021;"GERENTES DE MANUTENCAO";32;FALSE;"2006-2021";"2451"
2021;"PROFISSIONAIS DA METROLOGIA";14;FALSE;"2006-2021";"2451"
2021;"ENGENHEIROS MECATRONICOS";8;FALSE;"2006-2021";"2451"
2021;"PESQUISADORES DE ENGENHARIA E TECNOLOGIA";16;FALSE;"2006-2021";"2451"
2021;"PROFISSIONAIS DA MATEMATICA";1;FALSE;"2006-2021";"2451"
2021;"PROFISSIONAIS DE ESTATISTICA";3;FALSE;"2006-2021";"2451"
2021;"ENGENHEIROS EM COMPUTACAO";1;FALSE;"2006-2021";"2451"
2021;"ESPECIALISTAS EM INFORMATICA";3;FALSE;"2006-2021";"2451"
2021;"ANALISTAS DE SISTEMAS COMPUTACIONAIS";62;FALSE;"2006-2021";"2451"
2021;"FISICOS";1;FALSE;"2006-2021";"2451"
2021;"QUIMICOS";4;FALSE;"2006-2021";"2451"
