"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2021;"Total";46364;TRUE;"2006-2021";"2451"
2021;"Ate 2,9 meses";3426;FALSE;"2006-2021";"2451"
2021;"3,0 a 5,9 meses";3883;FALSE;"2006-2021";"2451"
2021;"6,0 a 11,9 meses";7202;FALSE;"2006-2021";"2451"
2021;"12,0 a 23,9 meses";4968;FALSE;"2006-2021";"2451"
2021;"24,0 a 35,9 meses";3110;FALSE;"2006-2021";"2451"
2021;"36,0 a 59,9 meses";5256;FALSE;"2006-2021";"2451"
2021;"60,0 a 119,9 meses";6781;FALSE;"2006-2021";"2451"
2021;"120,0 meses ou mais";11722;FALSE;"2006-2021";"2451"
2021;"{ñ class}";16;FALSE;"2006-2021";"2451"
2020;"Total";41051;TRUE;"2006-2021";"2451"
2020;"Ate 2,9 meses";3581;FALSE;"2006-2021";"2451"
2020;"3,0 a 5,9 meses";2302;FALSE;"2006-2021";"2451"
2020;"6,0 a 11,9 meses";2677;FALSE;"2006-2021";"2451"
2020;"12,0 a 23,9 meses";4607;FALSE;"2006-2021";"2451"
2020;"24,0 a 35,9 meses";3928;FALSE;"2006-2021";"2451"
2020;"36,0 a 59,9 meses";4876;FALSE;"2006-2021";"2451"
2020;"60,0 a 119,9 meses";7594;FALSE;"2006-2021";"2451"
2020;"120,0 meses ou mais";11420;FALSE;"2006-2021";"2451"
2020;"{ñ class}";66;FALSE;"2006-2021";"2451"
2019;"Total";40097;TRUE;"2006-2021";"2451"
2019;"Ate 2,9 meses";1175;FALSE;"2006-2021";"2451"
2019;"3,0 a 5,9 meses";1868;FALSE;"2006-2021";"2451"
2019;"6,0 a 11,9 meses";4046;FALSE;"2006-2021";"2451"
2019;"12,0 a 23,9 meses";5344;FALSE;"2006-2021";"2451"
2019;"24,0 a 35,9 meses";3679;FALSE;"2006-2021";"2451"
2019;"36,0 a 59,9 meses";4127;FALSE;"2006-2021";"2451"
2019;"60,0 a 119,9 meses";9176;FALSE;"2006-2021";"2451"
2019;"120,0 meses ou mais";10674;FALSE;"2006-2021";"2451"
2019;"{ñ class}";8;FALSE;"2006-2021";"2451"
2018;"Total";44365;TRUE;"2006-2021";"2451"
2018;"Ate 2,9 meses";2245;FALSE;"2006-2021";"2451"
2018;"3,0 a 5,9 meses";2723;FALSE;"2006-2021";"2451"
2018;"6,0 a 11,9 meses";4861;FALSE;"2006-2021";"2451"
2018;"12,0 a 23,9 meses";5478;FALSE;"2006-2021";"2451"
2018;"24,0 a 35,9 meses";3563;FALSE;"2006-2021";"2451"
2018;"36,0 a 59,9 meses";4842;FALSE;"2006-2021";"2451"
2018;"60,0 a 119,9 meses";10067;FALSE;"2006-2021";"2451"
2018;"120,0 meses ou mais";10582;FALSE;"2006-2021";"2451"
2018;"{ñ class}";4;FALSE;"2006-2021";"2451"
2017;"Total";40151;TRUE;"2006-2021";"2451"
2017;"Ate 2,9 meses";1613;FALSE;"2006-2021";"2451"
2017;"3,0 a 5,9 meses";2115;FALSE;"2006-2021";"2451"
2017;"6,0 a 11,9 meses";4081;FALSE;"2006-2021";"2451"
2017;"12,0 a 23,9 meses";4507;FALSE;"2006-2021";"2451"
2017;"24,0 a 35,9 meses";2728;FALSE;"2006-2021";"2451"
2017;"36,0 a 59,9 meses";6043;FALSE;"2006-2021";"2451"
2017;"60,0 a 119,9 meses";9304;FALSE;"2006-2021";"2451"
2017;"120,0 meses ou mais";9757;FALSE;"2006-2021";"2451"
2017;"{ñ class}";3;FALSE;"2006-2021";"2451"
2016;"Total";41004;TRUE;"2006-2021";"2451"
2016;"Ate 2,9 meses";1673;FALSE;"2006-2021";"2451"
2016;"3,0 a 5,9 meses";2306;FALSE;"2006-2021";"2451"
2016;"6,0 a 11,9 meses";3227;FALSE;"2006-2021";"2451"
2016;"12,0 a 23,9 meses";3980;FALSE;"2006-2021";"2451"
2016;"24,0 a 35,9 meses";3944;FALSE;"2006-2021";"2451"
2016;"36,0 a 59,9 meses";6229;FALSE;"2006-2021";"2451"
2016;"60,0 a 119,9 meses";9576;FALSE;"2006-2021";"2451"
2016;"120,0 meses ou mais";10067;FALSE;"2006-2021";"2451"
2016;"{ñ class}";2;FALSE;"2006-2021";"2451"
2015;"Total";43541;TRUE;"2006-2021";"2451"
2015;"Ate 2,9 meses";1499;FALSE;"2006-2021";"2451"
2015;"3,0 a 5,9 meses";1532;FALSE;"2006-2021";"2451"
2015;"6,0 a 11,9 meses";3705;FALSE;"2006-2021";"2451"
2015;"12,0 a 23,9 meses";5737;FALSE;"2006-2021";"2451"
2015;"24,0 a 35,9 meses";4845;FALSE;"2006-2021";"2451"
2015;"36,0 a 59,9 meses";6542;FALSE;"2006-2021";"2451"
2015;"60,0 a 119,9 meses";9551;FALSE;"2006-2021";"2451"
2015;"120,0 meses ou mais";10128;FALSE;"2006-2021";"2451"
2015;"{ñ class}";2;FALSE;"2006-2021";"2451"
2014;"Total";50809;TRUE;"2006-2021";"2451"
2014;"Ate 2,9 meses";2560;FALSE;"2006-2021";"2451"
2014;"3,0 a 5,9 meses";2577;FALSE;"2006-2021";"2451"
2014;"6,0 a 11,9 meses";5272;FALSE;"2006-2021";"2451"
2014;"12,0 a 23,9 meses";7460;FALSE;"2006-2021";"2451"
2014;"24,0 a 35,9 meses";4691;FALSE;"2006-2021";"2451"
2014;"36,0 a 59,9 meses";8643;FALSE;"2006-2021";"2451"
2014;"60,0 a 119,9 meses";8987;FALSE;"2006-2021";"2451"
2014;"120,0 meses ou mais";10617;FALSE;"2006-2021";"2451"
2014;"{ñ class}";2;FALSE;"2006-2021";"2451"
2013;"Total";54844;TRUE;"2006-2021";"2451"
2013;"Ate 2,9 meses";3077;FALSE;"2006-2021";"2451"
2013;"3,0 a 5,9 meses";3808;FALSE;"2006-2021";"2451"
2013;"6,0 a 11,9 meses";6999;FALSE;"2006-2021";"2451"
2013;"12,0 a 23,9 meses";6648;FALSE;"2006-2021";"2451"
2013;"24,0 a 35,9 meses";5848;FALSE;"2006-2021";"2451"
